#DENOMINACIÓN,ORGÁNICA,PROGRAMAS,ECONÓMICA,CRÉDITOS INICIALES,MODIFICACIONES,CRÉDITOS DEFINITIVOS,OBLIGACIONES RECONOCIDAS
Complemento de destino: Acceso a la viviewnda,160,153,12100,6995.04,,6995.04,6995.04
Complemento específico: Acceso a la viviewnda,160,153,12101,14044.66,,14044.66,14044.66
Sueldos grupo C1: Vías Públicas,160,155,12003,11109.94,,11109.94,11310.65
Sueldos grupo C2: Vías Públicas,160,155,12004,122524.84,,122524.84,122251.01
Sueldos grupo E: Vías Públicas,160,155,12005,92870.88,,92870.88,90699.89
Trienios: Vías públicas,160,155,12006,28690.45,,28690.45,26212.04
Complemento de destino: Vías Públicas,160,155,12100,109044.0,,109044.0,110269.58
Complemento específico: Vías Públicas,160,155,12101,252228.83,,252228.83,248983.25
Pers.Lab. temporal: Vías públicas,160,155,131,46401.08,1554.4,47955.48,46660.02
Productividad: Vías públicas,160,155,150,3000.0,12729.19,15729.19,24866.37
Gratificaciones: Vías Públicas,160,155,151,12000.0,4139.64,16139.64,12842.71
Gratificaciones: Saneam.alcantarillado agua,160,161,151,5000.0,,5000.0,
Suedos grupo E:Cementerio,160,164,12005,25000.5,3397.62,28398.12,23484.94
Trienios:Cementerio,160,164,12006,808.2,,808.2,509.07
Complemento de destino:Cementerio,160,164,12100,10980.36,2015.0,12995.36,15410.73
Complemento especifico:Cementerio,160,164,12101,33412.82,-3005.92,30406.9,30364.13
Productiviadad: Cementerio y Servicios Funerarios,160,164,150,,10097.87,10097.87,17715.43
Sueldos grupo A1: Medio Ambiente,160,170,12000,16331.06,,16331.06,16331.06
Sueldos grupo A2: Medio Ambiente,160,170,12001,14224.46,,14224.46,14072.87
Sueldos grupo C2:Medio Ambiente,160,170,12004,18655.46,,18655.46,18746.59
Sueldos grupo E:Medio Ambiente,160,170,12005,8638.82,,8638.82,8542.87
Trienios: Medio Ambiente,160,170,12006,7978.8,,7978.8,7786.55
Complemento de destino:Medio ambiente,160,170,12100,28508.52,2610.0,31118.52,31118.19
Complemento especifico:Medio ambiente,160,170,12101,60342.8,,60342.8,59948.72
Productividad: Medio Ambiente,160,170,150,,1811.89,1811.89,1611.88
Acción social: Otras prestac.emp.públicos,160,221,16204,12000.0,13657.4,25657.4,38381.81
Seguros: Otras presetaciones ec.empleados,160,221,16205,30000.0,-1477.0,28523.0,15797.79
Sueldos grupo A1:Serv.sociales,160,230,12000,49705.58,-920.0,48785.58,48778.2
Sueldos grupo A2:Serv.sociales,160,230,12001,84908.07,2209.0,87117.07,86018.37
Trienios: Serv.sociales,160,230,12006,21371.78,1743.39,23115.17,23102.54
Complemento de destino:Serv.sociales,160,230,12100,69862.39,-770.0,69092.39,69082.79
Complemento específico:Serv.sociales,160,230,12101,124780.44,-1485.0,123295.44,122925.32
Productividad: Admón Gral SS,160,230,150,1500.0,3841.13,5341.13,5558.26
Sueldos grupo E: Algergue Transeúntes,160,23123,12005,8396.36,,8396.36,8396.36
Trienios:Albergue transeúntes,160,23123,12006,646.56,,646.56,646.56
Complemento de destino:Albergue trans.,160,23123,12100,3660.12,,3660.12,3660.12
Complemento específico:Albergue trans.,160,23123,12101,12277.86,,12277.86,12277.86
Productividad: Albergue transeuntes,160,23123,150,500.0,1000.01,1500.01,1000.0
Gratificaciones: Albergue Transeúntes,160,23123,151,500.0,1587.0,2087.0,2528.8
Sueldos grupo A1: SEAFI,160,23132,12000,32884.12,,32884.12,32515.78
Sueldos grupo A2: SEAFI,160,23132,12001,14304.9,,14304.9,14355.6
Trienios: SEAFI,160,23132,12006,9347.86,-3000.0,6347.86,5679.96
Complemento de destino: SEAFI,160,23132,12100,23751.84,,23751.84,23751.84
Complemento especifico: SEAFI,160,23132,12101,47035.8,,47035.8,46408.88
Productividad: SEAFI,160,23132,150,,35499.0,35499.0,35498.1
Sueldos grupo E: Ayuda a domicilio,160,23136,12005,58424.3,-1528.27,56896.03,56180.33
Trienios: Ayuda a domicilio,160,23136,12006,2640.12,,2640.12,2420.11
Complemento de destino: Ayuda a domicilio,160,23136,12100,25620.84,3200.0,28820.84,34193.61
Complemento especifico: Ayuda a domicilio,160,23136,12101,69568.24,,69568.24,66442.25
Sueldos grupo C1: Centre d'esplai i Jove,160,23212,12003,5382.12,1301.34,6683.46,5000.41
Complemento de destino:Centre d'esplai i Jove,160,23212,12100,2638.2,,2638.2,5438.2
Complemento especifico:Centre d'esplai i Jove,160,23212,12101,5720.05,,5720.05,5286.95
"Pers.laboral, ret.básicas:Centre d'esplai",160,23212,13000,12369.79,6236.0,18605.79,20851.86
"Personal laboral, otras renum.:Centre d'esplai",160,23212,13002,8485.82,-7000.0,1485.82,562.5
Pers.lab.temporal: Centre d'esplai i jove,160,23212,131,19255.52,,19255.52,19455.41
Productividad: Centre d'Esplai i Centre Jove,160,23212,150,,,,750.0
Sueldos Grupo A2: Universidad Popular,160,23213,12001,14264.68,,14264.68,14499.43
Sueldos Grupo C2: Universidad Popular,160,23213,12004,23560.68,1910.0,25470.68,20984.76
Trienios: Universidad Popular,160,23213,12006,2557.29,,2557.29,3046.61
Complemento de destino: Universidaad Popular,160,23213,12100,20627.63,-1156.0,19471.63,19065.16
Complemento específico: Universidaad Popular,160,23213,12101,36776.02,-2153.0,34623.02,34586.09
Sueldos Grupo A2: ISI pueblo gitano,160,23218,12001,14269.92,,14269.92,14269.92
Trienios: ISI pueblo gitano,160,23218,12006,1567.44,,1567.44,1567.44
Complemento de destino: ISI pueblo gitano,160,23218,12100,6995.04,,6995.04,6995.04
Complemento específico: ISI pueblo gitano,160,23218,12101,11641.98,,11641.98,11641.98
Productividad: Pueblo Gitano,160,23218,150,,,,750.0
Sueldos Grupo A2:Tercera edad,160,23223,12001,14355.6,,14355.6,14582.05
Trienios: Tercera edad,160,23223,12006,2340.75,,2340.75,2305.98
Complemento de destino: Tercera edad,160,23223,12100,8378.4,,8378.4,8316.92
Complemento específico: Tercera edad,160,23223,12101,12730.2,800.0,13530.2,13473.01
Gratificaciones: Tercera edad,160,23223,151,500.0,-500.0,,
Sueldos grupo C2: Inmigración,160,23225,12004,9168.16,-382.45,8785.71,8868.54
Sueldos grupo E: Inmigración,160,23225,12005,8531.06,,8531.06,8457.91
Trienios: Inmigración,160,23225,12006,1454.76,,1454.76,1438.61
Complemento de destino: Inmigración,160,23225,12100,8397.6,-197.35,8200.25,8159.56
Complemento específico: Inmigración,160,23225,12101,18410.14,-417.37,17992.77,17984.9
Pers.laboral temporal: Inmigración,160,23225,131,33980.33,,33980.33,33945.56
Sueldos grupo A!: Hogar Sag.familia,160,2335,12000,16383.68,2856.8,19240.48,16383.68
Sueldos grupo A2: Hogar Sag.familia,160,2335,12001,71961.26,,71961.26,78054.42
Sueldos grupo C2: Hogar Sag.familia,160,2335,12004,194936.03,30000.0,224936.03,222987.44
Sueldos grupo E: Hogar Sag.familia,160,2335,12005,75459.48,,75459.48,92825.2
Trienios: Hogar Sag.familia,160,2335,12006,33989.77,214.8,34204.57,32165.7
Complemento de destino: Hogar Sag.familia,160,2335,12100,177311.98,31290.0,208601.98,247905.7
Complemento específico: Hogar Sag.familia,160,2335,12101,432715.5,,432715.5,489293.72
Pers.lab.temporal: Hogar Sag.familia,160,2335,131,178261.99,-3041.58,175220.41,70094.69
Productividad: Hogar Sag.Familia,160,2335,150,5000.0,,5000.0,2359.92
Gratificaciones: Hogar Sag.Familia,160,2335,151,8000.0,42846.65,50846.65,35996.91
Sueldos grupo E: CRIS,160,2337,12005,8423.3,-8000.0,423.3,
Trienios: CRIS,160,2337,12006,808.2,,808.2,
Complemento de destino: CRIS,160,2337,12100,3660.12,,3660.12,
Complemento específico: CRIS,160,2337,12101,8868.72,,8868.72,
Pers.Lab.temporal: CRIS,160,2337,131,282369.56,-479.68,281889.88,281172.29
Sueldos grupo A: Fomento de empleo,160,24100,12001,28780.88,-10668.96,18111.92,14378.01
Trienios: Fomento de empleo,160,24100,12006,3442.23,,3442.23,1738.5
Complemento de destino: Fomento de empleo,160,24100,12100,15373.44,-3151.22,12222.22,7344.72
Complemento específico: Fomento de empleo,160,24100,12101,24672.48,-4640.01,20032.47,12150.83
Pers.laboral temporal: Fomento de empleo,160,24100,131,,15000.0,15000.0,
Productividad: Admón Gral Fomento Empleo,160,24100,150,,150.7,150.7,1702.8
Seguridad social: Fomento empleo,160,24100,16000,,1000.0,1000.0,424.0
Pers.lab.temporal: TFIL exclusion social 14/15,160,24102,131,,2000.0,2000.0,
Seguridad Social: TFIL exclusión social 14/15,160,24102,16000,,500.0,500.0,
Personal laboral: TFIL col. discapacitados 14/15,160,24104,131,,2000.0,2000.0,
Seguridad Social: TFIL col. discapacitados 14/15,160,24104,16000,,500.0,500.0,
Pers.lab.: Salario Joven 2014/15,160,24105,131,,1880.95,1880.95,1235.62
Seguridad social: Salario joven 2014/15,160,24105,16000,,626.99,626.99,
Personal laboral: PIE mayores de 45 años,160,24111,131,,48712.91,48712.91,57900.42
Seguridad Social: PIE mayores de 45 años,160,24111,16000,,19725.0,19725.0,18978.5
Sueldos grupo A2: PIE menores de 30 años,160,24112,12001,,10770.57,10770.57,14275.16
Trinenios: PIE menores de 30 años,160,24112,12006,,1668.96,1668.96,1390.8
Complemento de destino: PIE menores de 30 años,160,24112,12100,,6412.36,6412.36,6995.04
Complemento especifico: PIE menores de 30 años,160,24112,12101,,11664.52,11664.52,12220.44
Personal laboral: PIE menores de 30 años,160,24112,131,,24006.46,24006.46,23965.91
Seguridad Social: PIE menores de 30 años,160,24112,16000,,16357.0,16357.0,16355.55
Seguros pers.laboral: Formación profesional,160,24120,16205,950.0,,950.0,
Seguros pers.laboral: Talleres,160,24130,16205,950.0,,950.0,
Pers.lab.temporal: T.E. Reciclaje,160,24133,131,,335326.56,335326.56,344412.49
Seguridad Social: Taller de Empleo Snat Josep,160,24133,16000,,49131.36,49131.36,44204.59
Seguros pers.laboral: otra formación empleo,160,24140,16205,950.0,,950.0,
Pers.lab.temporal: Obras y servicios EMCORP,160,24151,131,2690.5,2707.15,5397.65,3336.4
Seguridad Social.EMCORP 2013/14,160,24151,16000,908.03,902.38,1810.41,1661.35
Pers.laboral temporal: Servicio Estatal Empleo,160,24155,131,,186166.07,186166.07,179535.73
Seguridad Social: Obras S. E. de Empleo,160,24155,16000,,62773.72,62773.72,59650.5
Personal Laboral: Obra paro municipal,160,24156,131,,,,
Seguridad Social: PIE ayudas desempleo,160,24157,16000,900.0,,900.0,
Pers.lab.temporal: Plan Empleo conjunto 2014,160,24158,131,,15415.13,15415.13,13976.49
Seguridad Social: Plan empleo Conjunto 2014,160,24158,16000,,4863.72,4863.72,
Sueldos grupo A2: Educación,160,320,12001,3440.88,,3440.88,4974.09
Sueldos grupo C1: Educación,160,320,12003,5739.5,,5739.5,4288.72
Sueldos grupo C2: Educación,160,320,12004,18907.82,,18907.82,18943.28
Sueldos grupo E: Educación,160,320,12005,58479.01,21523.49,80002.5,78913.57
Trienios: Educación,160,320,12006,6374.77,,6374.77,6387.85
Complemento de destino: Educación,160,320,12100,39798.22,4764.0,44562.22,50587.53
Complemento específico: Educación,160,320,12101,95137.17,4280.0,99417.17,119602.1
Pers.laboral ret. básicas: Educación,160,320,13000,39469.59,2925.0,42394.59,35682.56
Pers.lab. otras remunerac.: Educación,160,320,13002,28290.36,,28290.36,12863.04
Productividad: Educación,160,320,150,500.0,10395.0,10895.0,10394.22
Gratificaciones: Educación,160,320,151,2000.0,726.5,2726.5,3417.3
Pers.lab.temporal: EPA,160,3231,131,11223.27,1765.0,12988.27,9309.94
Sueldos Grupo A1: Cultura,160,330,12000,16810.4,-6192.0,10618.4,10097.88
Sueldos Grupo A2: Cultura,160,330,12001,,9619.14,9619.14,31084.05
Sueldos Grupo C1: Cultura,160,330,12003,84480.06,-40377.58,44102.48,44090.63
Sueldos Grupo C2: Cultura,160,330,12004,18612.86,,18612.86,18612.86
Sueldos Grupo E: Cultura,160,330,12005,24973.56,,24973.56,16684.96
Trienios: Cultura,160,330,12006,24937.32,-6400.0,18537.32,18575.13
Complemento de destino: Cultura,160,330,12100,71730.84,,71730.84,68989.7
Complemento específico: Cultura,160,330,12101,148113.56,,148113.56,120558.94
Productividad: Cultura,160,330,150,2000.0,2075.0,4075.0,20356.08
Sueldos grupo A1: Arqueologia y patrimonio históri,160,336,12000,16540.14,,16540.14,16540.14
Sueldos grupo A2: Arqueologia y patrimonio históri,160,336,12001,14427.26,,14427.26,14427.26
Trienios: Arqueologia y patrimonio históri,160,336,12006,7748.04,,7748.04,7330.8
Complemento de destino: Arqueologia y patr,160,336,12100,15373.44,,15373.44,15373.44
Complemento específico: Arqueologia y patr,160,336,12101,27083.14,,27083.14,27083.14
Sueldos grupo C1: deportes,160,340,12003,10981.54,,10981.54,10981.54
Sueldos grupo E: deportes,160,340,12005,72467.31,,72467.31,72738.88
Trienios: deportes,160,340,12006,9034.35,,9034.35,9000.02
Complemento de destino: deportes,160,340,12100,36753.43,,36753.43,37895.68
Complemento específico: deportes,160,340,12101,102009.66,,102009.66,102114.27
Pers.lab.ret.básicas: deportes,160,340,13000,63675.16,10130.0,73805.16,85242.66
Pers.lab.otras remun.: deportes,160,340,13002,40271.4,-35600.0,4671.4,4000.0
Pers.Lab.temporal: Deportes,160,340,131,49461.97,-4000.0,45461.97,37738.75
Productividad: Deportes,160,340,150,3000.0,2300.0,5300.0,6000.0
Gratificaciones: Deporte,160,340,151,7500.0,,7500.0,1501.12
Sueldos grupo C2:Agricultura,160,410,12004,19148.9,,19148.9,18863.5
Trienios:Agricultura,160,410,12006,4895.88,,4895.88,4804.05
Complemento de destino:Agricultura,160,410,12100,9474.96,870.0,10344.96,11173.25
Complemento específico:Agricultura,160,410,12101,23144.24,,23144.24,22770.34
Gratificaciones: Agricultura,160,410,151,500.0,800.0,1300.0,1098.74
Sueldos grupo A2: Industria,160,422,12001,14477.96,,14477.96,14477.96
Trienios: Industria,160,422,12006,3337.92,,3337.92,3337.92
Complemento de destino: Industria,160,422,12100,6995.04,,6995.04,6995.04
Complemento específico: Industria,160,422,12101,11942.28,,11942.28,11942.28
Sueldos grupo A1: Comercio,160,430,12000,16583.16,,16583.16,16534.38
Sueldos grupo C2: Comercio,160,430,12004,9487.3,,9487.3,9522.76
Sueldos grupo E: Comercio,160,430,12005,8315.54,1900.0,10215.54,9051.06
Trienios: Comercio,160,430,12006,7227.91,,7227.91,6350.78
Complemento de destino: Comercio,160,430,12100,16776.0,,16776.0,17199.82
Complemento específico: Comercio,160,430,12101,32367.16,,32367.16,33003.94
Productividad: Comercio,160,430,150,1000.0,637.68,1637.68,2400.0
Gratificaciones: Comercio,160,430,151,1500.0,843.6,2343.6,1013.83
Sueldos grupo A2:Turismo,160,432,12001,14123.06,,14123.06,14173.76
Sueldos grupo CS:Turismo,160,432,12004,18726.38,,18726.38,18473.79
Trienios:Turismo,160,432,12006,3127.74,,3127.74,3120.2
Complemento de destino:Turismo,160,432,12100,16470.0,,16470.0,16869.24
Complemento específico:Turismo,160,432,12101,33030.34,,33030.34,32743.06
Pers.laboral temporal: Turismo,160,432,131,33547.16,,33547.16,33537.74
Productividad: Turismo,160,432,150,500.0,,500.0,1275.0
Ret.básicas altos cargos: O.gobierno,160,912,10000,163968.14,,163968.14,163968.14
Ret.básicas P.eventural: O.gobierno,160,912,11000,29021.34,1965.0,30986.34,30985.08
Sueldos grupo C1: Organos de gobierno,160,912,12003,22343.06,,22343.06,22205.05
Sueldos grupo C2: Organos de gobierno,160,912,12004,9310.0,,9310.0,9310.0
Trienios: Organos de gobierno,160,912,12006,5265.0,,5265.0,5235.45
Complemento de destino: Organos de gobierno,160,912,12100,16131.96,,16131.96,16047.79
Complemento específico: Organos de gobierno,160,912,12101,42869.54,,42869.54,42644.27
Productividad: Organos de gobierno,160,912,150,1500.0,-1475.0,25.0,480.0
Sueldos grupo A1: Admón. general,160,9200,12000,50394.06,-2922.68,47471.38,45447.91
Sueldos grupo A2: Admón. general,160,9200,12001,28932.98,,28932.98,29203.65
Sueldos grupo C1: Admón. general,160,9200,12003,44182.82,,44182.82,55147.8
Sueldos grupo C2: Admón. general,160,9200,12004,77097.4,-7705.0,69392.4,65319.66
Sueldos grupo E: Admón. general,160,9200,12005,25431.54,,25431.54,25471.95
Trienios: Admón. general,160,9200,12006,39196.39,,39196.39,38215.71
Complemento de destino: Admón. general,160,9200,12100,120593.28,,120593.28,135475.47
Complemento especifico: Admón. general,160,9200,12101,276383.1,3800.0,280183.1,266100.55
Productividad: Admón. general,160,9200,150,15000.0,21314.34,36314.34,30222.53
Gratificaciones: Administración General,160,9200,151,500.0,,500.0,1344.3
Seguridad Social: Pensiones y otras prestaciones,160,9200,16000,2606546.32,-107310.1,2499236.22,2476199.35
Arrendam.maquinaria instalaciones: Admón.general,160,9200,203,500.0,,500.0,
Reparac.maquinaria e instal.: Admón.general,160,9200,213,500.0,,500.0,
Reparac.mantenim.parque móvil: Admón.general,160,9200,214,5000.0,,5000.0,8014.3
Material oficina no invent:Admón general,160,9200,22000,17000.0,,17000.0,25054.98
Combustible parque móvil: Admón.general,160,9200,22103,5000.0,,5000.0,7305.45
Otros suministros: Admón.general,160,9200,22199,500.0,,500.0,5933.92
Comunicaciones postales: Admón.general,160,9200,22201,66000.0,-17500.0,48500.0,25770.83
Primas de seguros: Admón.general,160,9200,224,133729.97,-65731.94,67998.03,53295.19
Tributos estatales: Admón.general,160,9200,22500,500.0,,500.0,917.85
Tributos Generalitat (ITV): Admón.general,160,9200,22501,1500.0,,1500.0,1923.53
Publicaciones en diarios Of.: Admón.general,160,9200,22603,3000.0,,3000.0,3552.06
Jurídicos: Admón.general,160,9200,22604,95000.0,118800.0,213800.0,211117.77
Otros gastos diversos: Admón.general,160,9200,22699,1500.0,,1500.0,3506.04
Otros contratos servicios: Admón.general,160,9200,22799,19000.0,,19000.0,17582.1
Dietas personal: Admón.general,160,9200,23020,2000.0,,2000.0,1112.01
Gastos Locomoción Admón general,160,9200,23120,1500.0,,1500.0,2940.68
Otras indemnizaciones: Admón.general,160,9200,233,8000.0,2500.0,10500.0,11796.06
Limpieza y aseo: Admón general,160,9200,250,964387.47,,964387.47,964387.47
Aport. Federación Municipios y Provincias: Admón.g,160,9200,48202,9000.0,,9000.0,8519.37
Adquisición equipos informáticos:S. Generales,160,9200,626,20000.0,4880.0,24880.0,24838.93
Préstamos a corto plazo: Admón.general,160,9200,830,60000.0,-44000.0,16000.0,15724.24
Sueldos grupo A1: Politica econ. y fiscal,160,931,12000,34018.94,-3289.36,30729.58,32591.72
Sueldos grupo C1: Política ec. y fiscal,160,931,12003,11127.92,,11127.92,11173.38
Sueldos grupo C2: Política ec. y fiscal,160,931,12004,18868.22,-6880.73,11987.49,11986.54
Trienios: Política ec. y fiscal,160,931,12006,13955.28,-3388.0,10567.28,10566.33
Complemento de destino: Política ec. y fiscal,160,931,12100,38001.36,4072.0,42073.36,47101.65
Complemento específico: Política ec. y fiscal,160,931,12101,92354.08,-10444.77,81909.31,81909.04
Productividad: Política económica y fiscal,160,931,150,3500.0,1732.2,5232.2,3387.9
Sueldos grupo A1: Gestión sistema tributario,160,932,12000,16442.06,,16442.06,16494.68
Sueldos grupo C1: Gestión sistema tributario,160,932,12003,22195.2,,22195.2,22300.22
Sueldos grupo C2: Gestión sistema tributario,160,932,12004,47440.64,-2294.73,45145.91,45086.58
Trienios: Gestión sistema tributario,160,932,12006,17376.22,,17376.22,16931.43
Complemento de destino: Gestión sistema tributario,160,932,12100,43460.28,-1184.37,42275.91,42324.98
Complemento específico: Gestión sistema tributario,160,932,12101,93834.58,-2504.25,91330.33,91475.06
Productividad: Gestión del Sistema tributario,160,932,150,500.0,,500.0,266.7
Sueldos grupo A1: Gtión. deuda y tesorería,160,934,12000,16772.68,,16772.68,17433.7
Sueldos grupo A2: Gtión. deuda y tesorería,160,934,12001,14461.52,,14461.52,14462.72
Sueldos grupo C2: Gtión. deuda y tesorería,160,934,12004,9451.84,,9451.84,9451.84
Trienios: Gtión. deuda y tesorería,160,934,12006,6474.58,,6474.58,6110.64
Complemento de destino: Gtión. deuda y tesorería,160,934,12100,23357.52,,23357.52,20968.34
Complemento específico: Gtión. deuda y tesorería,160,934,12101,52601.92,,52601.92,46213.53
Productividad: Gestión deuda y Tesorería,160,934,150,2000.0,2746.2,4746.2,5840.0
Reparac.maquinaria: Seguridad y orden público,170,132,213,1000.0,,1000.0,839.04
Reparac.mantenim.vehículos: Seguridad y orden públ,170,132,214,12000.0,,12000.0,17895.99
Material oficina no inventa.: Seguridad y orden,170,132,22000,1000.0,,1000.0,326.24
Combustible y carburantes: Seguridad y orden públi,170,132,22103,12000.0,900.0,12900.0,17037.17
Vestuario: Seguridad y orden público,170,132,22104,7000.0,,7000.0,6759.52
Otros suministros: Seguridad y orden público,170,132,22199,4000.0,,4000.0,7573.98
Tributos Generalitat ITV: Seguridad y orden,170,132,22501,,,,306.51
Publicidad: Seguridad y orden público,170,132,22602,2000.0,,2000.0,414.79
Otros trabajos realizados empresas: Seg.y Orden pú,170,132,22799,8000.0,1600.0,9600.0,16474.47
Mantenimiento infraestruc.: Ord. tráfico y estac.,170,133,210,5000.0,,5000.0,5923.46
Ontrato gestión de estacionam. vehículos,170,133,22701,354041.52,,354041.52,281501.48
Otros suministros: Protección civil,170,134,22199,2000.0,,2000.0,1962.63
Arrendam. equipos informáticos: Nuevas tecnologías,180,9200,206,5425.95,,5425.95,5425.95
Reparaciones maquinaria: Nuevas teconologías,180,9200,213,4532.04,,4532.04,5766.91
Rep.mantenim.equipos informáticos: Admon.general,180,9200,216,18000.0,1520.0,19520.0,18784.51
Material de oficina (informa):Admón General,180,9200,22002,9000.0,4500.0,13500.0,15314.28
Comunicaciones informáticas: Nuevas tecnologías,180,9200,22200,93000.0,,93000.0,90544.81
Servicios y mantenimiento softward: Admón.general,180,9200,22799,55000.0,3370.0,58370.0,55990.27
Material oficina no invent. :Deportes,190,340,22000,100.0,,100.0,
Otros gastos diversos: Deportes,190,340,22699,16000.0,,16000.0,34205.79
Publicidad y propaganda: Promoc.fomento deporte,190,341,22602,10000.0,,10000.0,864.18
Gastos diversos: Escuelas deportivas municipales,190,341,22699,7000.0,,7000.0,8500.0
Convenio Club de Fútbol La Vall,190,341,48401,15000.0,,15000.0,15000.0
Convenio Club Ciclista Manrubia,190,341,48403,2700.0,,2700.0,2700.0
Subvención Club Terratremols Open España,190,341,48404,1000.0,,1000.0,1000.0
Convenio Unión Deportiva Vall de Uxó,190,341,48408,15000.0,,15000.0,15000.0
Mantenim. y const.edificios: Instalaciones deporti,190,342,212,7000.0,,7000.0,6952.78
Mantenimiento maquinarias: Instalaciones deportiva,190,342,213,2000.0,,2000.0,1256.21
Combustibles y carburantes: Instal. deportivas,190,342,22103,16000.0,1603.94,17603.94,7359.99
Reparac. y mantenim. parque móvil,220,151,214,7000.0,,7000.0,13114.38
Material oficina no ivent.;Urbanismo,220,151,22000,3000.0,-1600.0,1400.0,51.76
Tributos Generalitat: Urbanismo,220,151,22501,,,,117.8
Publicidad y propaganda: Urbanismo,220,151,22602,3000.0,,3000.0,847.0
"Jurídicos, contenciosos: Urbanismo",220,151,22604,30000.0,976.02,30976.02,32650.14
Otros gastos diversos: Urbanismo,220,151,22699,500.0,,500.0,1299.58
Estudios y trabajos técnicos: Urbanismo,220,151,22706,15000.0,-14903.06,96.94,
Adquisición inmuebles PMS: Urbanismo,220,151,681,34445.9,,34445.9,34445.9
Reppara. mantenimiento infraestru.:Vias Publicas,220,155,210,60000.0,-15780.0,44220.0,23382.64
Combustible y carburante: Vias Públicas,220,155,22103,15000.0,,15000.0,14654.75
Vestuario:Vias Públicas,220,155,22104,6000.0,,6000.0,6686.54
"Reuniones, conderencias, cursos: Vias Públicas",220,155,22606,,,,880.0
Otras inversiones vías públicas,220,155,619,1162871.15,41898.83,1204769.98,651986.83
"Maquinaria, instalaciones, utillaje: Vías Públicas",220,155,623,,2000.0,2000.0,1054.4
Elementos de transporte: Vías Públicas,220,155,624,28000.0,,28000.0,27958.01
Reposición edificios y construcciones: Cementerio,220,164,632,,55189.49,55189.49,55189.49
Repara.mante.infraestructur.:Alumbrado Público,220,165,210,501260.37,100.0,501360.37,501278.52
Adecuación instalaciones del alumbrado público,220,165,619,,40000.0,40000.0,26000.0
Inversiones en Edificios: Centros Sociales,220,23228,622,,7245.96,7245.96,7245.96
Adquisición inmueble interés social INSS,220,312,682,,23375.0,23375.0,20500.0
Inversión edificios y construcciones: Instal.depor,220,342,622,450000.0,85000.0,535000.0,449960.13
Subvención Emsevall: servicio transporte,220,442,449,124456.06,,124456.06,124456.06
Arrendamiento edificios y construc.: Admón. genera,220,9200,202,11235.0,,11235.0,72737.45
Reparac.mantenim.conserv.edificios: Admón.general,220,9200,212,60000.0,,60000.0,51800.91
Reparac.maquinaria e instal.: Urbanismo y M. Ambie,220,9200,213,,,,5152.07
Energía eléctrica: Admón. general,220,9200,22100,996171.83,40000.0,1036171.83,963701.84
Inversión edificios y construcciones: S. Generales,220,9200,622,12611.55,-1000.0,11611.55,3432.65
Reposición edificios y construcciones: S. Generale,220,9200,632,85738.0,-40000.0,45738.0,42136.67
