#DESCRIPCIÓN,Orgánica,Programa ,Económica,Inicial,Modificaciones,Total,TOTAL O
Complemento de destino: Universidad Popular,101.0,23105.0,12100.0,18772.1,0.0,18772.1,13331.04
Complemento destino: Pueblo gitano,101.0,23106.0,12100.0,7065.0,0.0,7065.0,5351.76
Complemento de destino: Tercera edad,101.0,23107.0,12100.0,8462.28,0.0,8462.28,6410.25
Complemento de destino: Inmigración,101.0,23108.0,12100.0,8481.72,0.0,8481.72,6391.15
Complemento de destino: Hogar Sagrada Familia,101.0,23109.0,12100.0,198980.14,0.0,198980.14,220935.88
Complemento de destino:CRIS,101.0,23110.0,12100.0,3696.84,-600.0,3096.84,0.0
Complemento destino: Servicios Sociales,101.0,23111.0,12100.0,88307.61,0.0,88307.61,87148.41
Complemento de destino: Seg. y Orden Público,101.0,132.0,12100.0,318899.76,-2355.0,316544.76,253394.6
Complemento de destino: Política ec. y fiscal,101.0,931.0,12100.0,39231.6,0.0,39231.6,29224.06
Complemento de destino: Gestión sistema tributario,101.0,932.0,12100.0,36801.96,0.0,36801.96,32380.51
Complemento de destino: Gtión. deuda y tesorería,101.0,934.0,12100.0,23591.16,0.0,23591.16,16684.83
Complemento de destino: Igualdad,101.0,23131.0,12100.0,0.0,4121.25,4121.25,0.0
Complemento de destino: Fomento de empleo,101.0,24110.0,12100.0,15527.28,0.0,15527.28,10683.7
Complemento de destino: Educación,101.0,32001.0,12100.0,46538.16,3300.0,49838.16,51143.1
Complemento de destino: Cultura,101.0,330.0,12100.0,79870.08,-5647.04,74223.04,55396.54
Complemento de destino: Arqueologia y patrimonio,101.0,336.0,12100.0,15527.28,0.0,15527.28,11762.01
Complemento de destino: Deportes,101.0,340.0,12100.0,41668.94,330.0,41998.94,42613.93
Complemento de destino: Agricultura,101.0,410.0,12100.0,7666.44,651.0,8317.44,8316.81
Complemento de destino: Industria,101.0,422.0,12100.0,8462.28,-2355.0,6107.28,6410.25
Complemento de destino: Turismo,101.0,432.0,12100.0,16634.76,-5849.96,10784.8,5725.63
Complemento de destino: Organos de Gobierno,101.0,912.0,12100.0,10964.16,0.0,10964.16,8305.38
"Complemento de destino: Admón., general",101.0,920.0,12100.0,151000.32,-3355.0,147645.32,109641.96
Complemento de destino: Acceso a la vivienda,101.0,1521.0,12100.0,7065.0,0.0,7065.0,5351.76
Complemento de destino: Vías Públicas,101.0,1533.0,12100.0,105351.12,0.0,105351.12,88600.92
Complemento de destino: Cementerio,101.0,164.0,12100.0,11090.52,0.0,11090.52,8791.47
Complemento de destino: Medio Ambiente,101.0,170.0,12100.0,23333.04,0.0,23333.04,16618.59
Complemento específico: Admón. general,101.0,920.0,12101.0,346713.22,-6168.45,340544.77,239982.61
Complemento específico: Política ec. y fiscal,101.0,931.0,12101.0,88902.38,0.0,88902.38,63752.87
Complemento específico: Gestión sistema tributario,101.0,932.0,12101.0,74538.24,0.0,74538.24,53686.52
Complemento específico: Gtión. deuda y tesorería,101.0,934.0,12101.0,53127.76,0.0,53127.76,35242.54
Complemento específico: Igualdad,101.0,23131.0,12101.0,0.0,6800.85,6800.85,0.0
Complemento específico: Servicios Sociales,101.0,23111.0,12101.0,167699.67,0.0,167699.67,151508.1
Complemento específico: Fomento de empleo,101.0,24110.0,12101.0,24123.4,0.0,24123.4,17271.53
Complemento específico: Educación,101.0,32001.0,12101.0,115348.94,0.0,115348.94,91424.39
Complemento específico: Cultura,101.0,330.0,12101.0,156631.72,-11317.15,145314.57,81455.53
Compl.específico: Arqueologia y patrimonio,101.0,336.0,12101.0,31709.72,0.0,31709.72,22740.4
Compl.específico: deportes,101.0,340.0,12101.0,123117.68,0.0,123117.68,93388.43
Compl.específico: Agricultura,101.0,410.0,12101.0,13266.6,9700.0,22966.6,16585.64
Complemento específico: Industria,101.0,422.0,12101.0,19648.02,-3545.56,16102.46,14090.42
Complemento específico: Turismo,101.0,432.0,12101.0,33840.8,-10992.92,22847.88,11433.32
Complemento específico: Organos de gobierno,101.0,912.0,12101.0,26689.46,0.0,26689.46,19140.14
Complemento específico: Acceso a la vivienda,101.0,1521.0,12101.0,14185.08,0.0,14185.08,10172.72
Complemento específico: Vías Públicas,101.0,1533.0,12101.0,246064.42,0.0,246064.42,175246.9
Complemento específico: Cementerio,101.0,164.0,12101.0,33746.58,0.0,33746.58,23974.17
Complemento específico: Medio Ambiente,101.0,170.0,12101.0,44045.96,0.0,44045.96,31587.24
Complemento específico: Albergue Transeuntes,101.0,23101.0,12101.0,12400.5,0.0,12400.5,5579.6
Complemento específico: Ayuda a domicilio,101.0,23103.0,12101.0,70263.06,0.0,70263.06,49266.74
Complemento específico: Centre d'esplai i Jove,101.0,23104.0,12101.0,5777.24,12400.0,18177.24,4548.33
Complemento específico: Universidad Popular,101.0,23105.0,12101.0,34083.26,0.0,34083.26,23705.89
Complemento específico: ISI pueblo gitano,101.0,23106.0,12101.0,11758.32,0.0,11758.32,8432.4
Complemento específico: Tercera edad,101.0,23107.0,12101.0,13844.74,0.0,13844.74,9928.66
Complemento específico: Inmigración,101.0,23108.0,12101.0,19074.44,0.0,19074.44,13613.33
Complemento específico: Hogar Sag.Familia,101.0,23109.0,12101.0,481048.68,6000.0,487048.68,358055.51
Complemento específico: CRIS,101.0,23110.0,12101.0,8957.34,-8900.0,57.34,0.0
Complemento específico: Seg. y orden público,101.0,132.0,12101.0,776504.54,-6036.89,770467.65,518349.33
Complemento específico: Comercio,101.0,430.0,12101.0,40370.68,0.0,40370.68,9086.82
Complemento específico: Urbanismo,101.0,151.0,12101.0,231569.52,25100.0,256669.52,184276.67
Pers.lab.ret.básicas: Deportes,101.0,340.0,13000.0,86139.88,0.0,86139.88,71644.28
Pers.lab.ret.básicas: Centre d'esplai,101.0,23104.0,13000.0,16164.32,470.0,16634.32,16632.44
Pers.lab.ret.básicas: Educación,101.0,32001.0,13000.0,25851.7,0.0,25851.7,16196.6
Horas extraordinarias:Educación,101.0,32001.0,13001.0,0.0,580.0,580.0,823.6
Horas extraordinarias: Deportes,101.0,340.0,13001.0,0.0,794.21,794.21,7237.65
Pers.lab.otras remunerac.:Educación,101.0,32001.0,13002.0,19048.68,0.0,19048.68,0.0
Pers.lab.otras remunerac: deportes,101.0,340.0,13002.0,54253.78,0.0,54253.78,0.0
Pers.lab.otras remuneraciones:Centre d'esplai,101.0,23104.0,13002.0,8570.66,0.0,8570.66,0.0
Pers.lab.temporal: Fomneto de empleo,101.0,24110.0,131.0,35230.44,37900.0,73130.44,88830.87
"Pers.lab.temporal: Programa T'avalem, Taula del Senia",101.0,24119.0,131.0,0.0,184809.39,184809.39,96451.48
Pers.lab.temporal: Deportes,101.0,340.0,131.0,51703.16,0.0,51703.16,29813.15
Pers.lab.temporal: Servicio Estatal Empleo,101.0,24104.0,131.0,72328.94,161709.77,234038.71,82606.45
Pers.lab.temporal: Vias Públicas,101.0,1533.0,131.0,58976.67,0.0,58976.67,44977.45
Pers.lab.temporal: Centre d'esplai i jove,101.0,23104.0,131.0,19739.86,0.0,19739.86,14264.31
Pers.lab.temporal: Inmigración,101.0,23108.0,131.0,34792.9,0.0,34792.9,25201.47
Pers.lab.temporal: Hogar Sag.Familia,101.0,23109.0,131.0,199850.66,12173.71,212024.37,86161.76
Pers.lab.temporal: CRIS,101.0,23110.0,131.0,289048.72,0.0,289048.72,210214.76
Pers.lab. temporal: Servicios Sociales,101.0,23111.0,131.0,0.0,1650.0,1650.0,0.0
Personal laboral: Desempleados larga duración,101.0,24118.0,131.0,0.0,99785.98,99785.98,89059.29
Personal laboral: formac.desempleados 16/17,101.0,24105.0,131.0,0.0,33450.0,33450.0,22615.63
Personal laboral temporal: Turismo,101.0,432.0,131.0,0.0,0.0,0.0,0.0
Pers.lab. temporal: Proyecto EMCUJU,101.0,24121.0,131.0,0.0,67000.0,67000.0,18663.68
Pers.lab. temporal: Proyecto EMPUJU,101.0,24122.0,131.0,0.0,68000.0,68000.0,14862.34
Personal laboral: Taller de empleo Fábrica Llum,101.0,24117.0,131.0,0.0,162430.4,162430.4,121117.6
Pers.lab.temporal: Plan de Empleo 2017,101.0,24120.0,131.0,0.0,11130.47,11130.47,6720.26
Pers.lab.temporal:Educación,101.0,32001.0,131.0,0.0,0.0,0.0,0.0
Otro Personal: Fomento de empleo,101.0,24110.0,143.0,0.0,33200.0,33200.0,14400.0
Productividad: Seg. y Orden Público,101.0,132.0,150.0,200.0,0.0,200.0,542.3
Productividad: Industria,101.0,422.0,150.0,2200.0,700.0,2900.0,1199.6
Productividad: Medio Ambiente,101.0,170.0,150.0,0.0,155.0,155.0,154.7
Productividad: Educación,101.0,32001.0,150.0,2200.0,6000.0,8200.0,411.36
Productividad: Política ec. y fiscal,101.0,931.0,150.0,4000.0,2500.0,6500.0,2904.66
Productividad: Servicios Sociales,101.0,23111.0,150.0,3000.0,0.0,3000.0,1277.0
Productividad: Hogar Sag.Familia,101.0,23109.0,150.0,1400.0,0.0,1400.0,799.78
Productividad: Organos de gobierno,101.0,912.0,150.0,0.0,540.0,540.0,539.0
Productividad: Vías Públicas,101.0,1533.0,150.0,5550.0,0.0,5550.0,238.35
Productividad: Urbanismo,101.0,151.0,150.0,3000.0,0.0,3000.0,17276.29
Productividad: Vías Públicas,101.0,24110.0,150.0,0.0,200.0,200.0,0.0
Productividad: Comercio,101.0,430.0,150.0,1000.0,0.0,1000.0,0.0
Productividad: Cultura,101.0,330.0,150.0,1000.0,0.0,1000.0,77.4
Productividad: Deportes,101.0,340.0,150.0,1500.0,0.0,1500.0,444.0
Productividad: Gestión del Sistema tributario,101.0,932.0,150.0,1200.0,6700.0,7900.0,11934.54
Productividad: Gestión deuda y Tesoreria,101.0,934.0,150.0,1000.0,0.0,1000.0,0.0
Productividad: Admón. general,101.0,920.0,150.0,18000.0,0.0,18000.0,12170.36
Gratificaciones: Fomento de empleo,101.0,24110.0,151.0,0.0,160.0,160.0,157.08
Gratificaciones: Urbanismo,101.0,151.0,151.0,0.0,0.0,0.0,530.91
Gratificaciones: Sistema tributario,101.0,932.0,151.0,0.0,0.0,0.0,695.02
Gratificaciones: Hogar Sag.Familia,101.0,23109.0,151.0,33000.0,1526.77,34526.77,30906.87
Gratificaciones: Vías Públicas,101.0,1533.0,151.0,22000.0,1168.69,23168.69,10899.43
Gratificaciones: Comercio,101.0,430.0,151.0,3000.0,0.0,3000.0,204.96
Gratificaciones: Agricultura,101.0,410.0,151.0,34072.7,-33000.0,1072.7,261.72
Gratificaciones: Deporte,101.0,340.0,151.0,7000.0,0.0,7000.0,1627.68
Gratificaciones: Educación,101.0,32001.0,151.0,4000.0,0.0,4000.0,1960.4
Gratificaciones: Servicios Sociales,101.0,23111.0,151.0,1700.0,0.0,1700.0,816.6
Gratificaciones: Política ec. y fiscal,101.0,931.0,151.0,1000.0,0.0,1000.0,76.8
Gratificaciones: Seg. y Orden Público,101.0,132.0,151.0,75000.0,-4000.0,71000.0,51794.84
Gratificaciones: Administracion General,101.0,920.0,151.0,3000.0,-2500.0,500.0,0.0
Seguridad Social: Pensiones y otras prestaciones,101.0,920.0,16000.0,2532499.25,-67942.53,2464556.72,1546867.25
Seguridad Social: T.E. Fábrica de la Llum,101.0,24117.0,16000.0,0.0,39393.6,39393.6,16686.0
Seguridad Social: Formac. desemplados 16/17,101.0,24105.0,16000.0,0.0,19110.0,19110.0,6365.16
Seguridad Social: Parados larga duración,101.0,24118.0,16000.0,0.0,34925.1,34925.1,26957.51
Seguridad Social: Fomento de empleo,101.0,24110.0,16000.0,0.0,29057.62,29057.62,18910.67
Seguridad Social: Plan Empleo 2017,101.0,24120.0,16000.0,0.0,3048.6,3048.6,1658.55
"Seguridad Social: Programa T'avalem, Taula Senia",101.0,24119.0,16000.0,0.0,27654.61,27654.61,9148.44
Seguridad Social: Proyecto EMPUJU 2017,101.0,24122.0,16000.0,0.0,32000.0,32000.0,332.36
Seguridad Social: Proyecto EMCUJU 2017,101.0,24121.0,16000.0,0.0,33000.0,33000.0,360.69
Seguridad Social: Servicio Estatal Empleo,101.0,24104.0,16000.0,25283.7,52725.26,78008.96,0.0
Acción social: Otras prestac.emp.públicos,101.0,221.0,16204.0,25000.0,-3000.0,22000.0,448.5
Seguros: Otras prestac.ec.empleados,101.0,221.0,16205.0,25000.0,-7000.0,18000.0,17657.14
Arrendamiento edificios y construcc.: Admón.genera,404.0,920.0,202.0,30000.0,0.0,30000.0,7312.0
Arrendamiento local SERCEF: Fomento empleo,802.0,24110.0,202.0,35000.0,0.0,35000.0,28445.6
Arrendamiento maquinaria: Cultura,1008.0,330.0,203.0,1360.0,-150.0,1210.0,0.0
Arrendam.maquinaria instalaciones: Admón.general,101.0,920.0,203.0,500.0,0.0,500.0,0.0
Arrendamiento de vehículos,201.0,133.0,204.0,25000.0,0.0,25000.0,7701.88
ARRENDAMIENTO EQUIPOS INFORMÁTICOS,301.0,920.0,206.0,0.0,0.0,0.0,5404.25
Arrendamiento equipos inf: Programa T'avalem,802.0,24119.0,206.0,0.0,0.0,0.0,0.0
"Cánones: Saneamiento, alcantarillado y dep.aguas",506.0,161.0,209.0,30000.0,0.0,30000.0,5619.94
Repara.mante.infraestructur.:Alumbrado Público,404.0,165.0,210.0,418146.2,0.0,418146.2,387920.63
Mantenim.conservac.infra.; Parques y jardines,506.0,171.0,210.0,453763.0,-3298.88,450464.12,283673.25
Reparac.mantenim.infraestruct.:Vías Públicas,405.0,1533.0,210.0,60000.0,0.0,60000.0,12754.69
Mantenimiento infraestruc: Ord. tráfico y estac.,201.0,133.0,210.0,25000.0,0.0,25000.0,7795.91
Reparac.conserv.cías rústicas: Vías Públicas,510.0,1534.0,210.0,20000.0,0.0,20000.0,1645.24
Mantenim. reparac. edificios: Programa T'avalem,802.0,24119.0,212.0,0.0,0.0,0.0,0.0
Reparación edificios: Instalaciones deportivas,1006.0,342.0,212.0,0.0,0.0,0.0,5425.32
Mantenim. reparac. edificioT.E. Fábrica de la Llum,802.0,24117.0,212.0,0.0,0.0,0.0,0.0
Mantenimiento edificios:Clubs de convivencia,903.0,23114.0,212.0,3000.0,0.0,3000.0,0.0
Mantenim.rep. y conserv.:Cementerio,1005.0,164.0,212.0,4000.0,0.0,4000.0,1294.48
Acondicionamiento edificios: vivienda tutelada,903.0,23130.0,212.0,10000.0,-760.0,9240.0,0.0
Reparac.mantenim.conserv.y edificios: Admón.genera,404.0,920.0,212.0,120000.0,0.0,120000.0,44309.88
Reparac.y conservac. edificios:Educación,1009.0,32001.0,212.0,70000.0,0.0,70000.0,24747.01
Reparación y conserv.edificios: Culura,1008.0,330.0,212.0,4000.0,0.0,4000.0,999.69
Reparac.y conservac.edificios:Centros sociales,903.0,23115.0,212.0,3000.0,0.0,3000.0,1204.88
Reparación edificios:Hogar Sag.Familia,903.0,23109.0,212.0,10000.0,0.0,10000.0,3999.73
Reparac.y conservacion edifcios: Comercio,802.0,430.0,212.0,6000.0,-2113.14,3886.86,501.8
Mantenim.reparac.edificios:Fomenmto empleo,802.0,24110.0,212.0,4000.0,-4000.0,0.0,1644.67
Reparac.maquinaria:Hogar Sag.Familia,903.0,23109.0,213.0,5500.0,0.0,5500.0,3580.24
Reparación maquinaria: Taller E. Fabrica La Llum,802.0,24117.0,213.0,0.0,2000.0,2000.0,1206.78
Reparación maquinaria: Taller Empleo Sant Josep 2,802.0,24112.0,213.0,1000.0,0.0,1000.0,0.0
Reparac.maquinaria: Seguridad y orden público,201.0,132.0,213.0,6000.0,0.0,6000.0,992.12
"Reparación maquinaria, instal:comercio",802.0,430.0,213.0,1335.0,0.0,1335.0,0.0
Reparac.maquinaria e instal.:Admón.general,101.0,920.0,213.0,500.0,0.0,500.0,0.0
REPARACIÓN DE MAQUINARIA: URBANISMO,404.0,920.0,213.0,0.0,0.0,0.0,11800.23
Reparacion instalaciones: Patrimonio cultural,1008.0,336.0,213.0,0.0,0.0,0.0,0.0
"Maquinaria, instalaciones: Política Ec. y fiscal",1101.0,931.0,213.0,150.0,0.0,150.0,0.0
Reparac. y conserv.maquinaria:Educación,1009.0,32001.0,213.0,27400.0,0.0,27400.0,78.17
Mantenim.maquinarias; Instalaciones deportivas,1006.0,342.0,213.0,38258.36,0.0,38258.36,28893.14
Reparac. y conservac.maquinaria: Centros sociales,903.0,23115.0,213.0,12000.0,-7862.76,4137.24,2723.76
Reparac.maquinaria:Serv.sociales,903.0,23111.0,213.0,700.0,0.0,700.0,0.0
"Mantenim.maquinaria,instalac.: CRIS",903.0,23110.0,213.0,1800.0,0.0,1800.0,226.14
Reparación vehículos: Agricultura,510.0,410.0,214.0,2000.0,0.0,2000.0,6757.25
