#DENOMINACIÓN,ORGÁNICA,PROGRAMAS,ECONÓMICA,CRÉDITOS INICIALES,MODIFICACIONES,CRÉDITOS DEFINITIVOS,OBLIGACIONES RECONOCIDAS
Servicio de limpieza viaria,240,163,22700,848186.43,-58286.88,789899.55,712845.56
Otros suministros: Medio ambiente,240,170,22199,3000.0,7000.0,10000.0,4159.71
Otros gastos diversos: Medio ambiente,240,170,22699,1000.0,,1000.0,118.8
Otros contratos servicios: Medio ambiente,240,170,22799,30000.0,-783.75,29216.25,27952.96
Publicidad y propaganda: Medio ambiente,240,170,22602,5000.0,-2000.0,3000.0,4573.8
Combustible y carburantes: Agricultura,240,410,22103,8000.0,,8000.0,9957.63
Otros suministros diversos: Agricultura,240,410,22199,3500.0,,3500.0,3351.24
Publicidad y propaganda: Agricultura,240,410,22602,2100.0,,2100.0,
Reparac.conservac.vías rústics: Vías públicas,240,155,210,20000.0,-5133.48,14866.52,11727.45
Mantenim.conservac.infra.: Parques y jardines,240,171,210,517446.48,-79220.76,438225.72,406088.05
"Cánones: Saneamiento,alcantarillado y dep.aguas",240,161,209,42000.0,-20315.81,21684.19,21684.19
Dietas: T.E. Valldaria,320,24131,23020,2500.0,-2500.0,,
Locomoción: T.E. Valldaria,320,24131,231,1500.0,-1500.0,,
Arrendam.maquinaria instalaciones: Admón.general,160,9200,203,2000.0,,2000.0,
Reparac.maquinaria e instal.: Admón.general,160,9200,213,3000.0,-2500.0,500.0,442.5
Reparac.mantenim.parque móvil: Admón.general,160,9200,214,6500.0,,6500.0,2685.15
Material oficina: Admón.general,160,9200,220,17000.0,,17000.0,26389.9
Combustible parque móvil: Admón.general,160,9200,22103,7000.0,,7000.0,9274.47
Otros gastos diversos:Adm Gral Educación,450,320,22699,,,,
Otros suministros: Admón.general,160,9200,22199,2500.0,,2500.0,102.55
Otros gastos diversos: Casal Jove,450,23216,22699,,14550.0,14550.0,9302.42
Equipos informáticos: Polít.Ec. y fiscal,301,932,626,,485.0,485.0,484.98
Reparación y consv edificios:Educación preesc. pri,450,321,212,35000.0,36700.0,71700.0,70167.07
Reparación cons maquin:Educación preescol. primari,450,321,213,12000.0,4411.7,16411.7,16720.38
Combustibles y carburantes:Educación preescolar pr,450,321,22103,32000.0,47014.41,79014.41,73097.09
Personal Laboral: Obra paro municipal,160,24156,131,,35841.28,35841.28,61892.4
Personal laboral: Paro INEM 2011,160,24152,131,,3201.0,3201.0,6895.55
Seguridad Social: Paro INEM 2011,160,24152,16000,,2800.0,2800.0,2296.75
Otros suministros: Centros sociales,470,23228,22199,,2040.0,2040.0,69.07
Convenio Cáritas Centre Esplai-Reforç Educatiu,470,23224,48309,,24710.0,24710.0,24710.0
Gratificaciones: Organos de gobierno,160,912,151,,,,291.48
Publicidad y propaganda:Juventud,480,9241,22602,500.0,568.1,1068.1,696.0
Reuniones y conferencias:Juventud,480,9241,22606,3500.0,-2790.0,710.0,
Otros gastos diversos:Juventud,480,9241,22699,20000.0,,20000.0,19568.47
Otros contratos de servicios:Juventud,480,9241,22799,2000.0,,2000.0,1919.99
Asistencia médico-farmaceútica empleados,160,221,16008,35000.0,-26286.13,8713.87,8713.86
Acción social: Otras prestac.emp.públicos,160,221,16204,12000.0,4950.0,16950.0,15629.36
Seguros: Otras presetaciones ec.empleados,160,221,16205,35000.0,-14052.33,20947.67,20874.89
Ret.básicas: Serv.sociales,160,230,120,,153214.76,153214.76,132268.27
Ret.complementarias: Serv.sociales,160,230,121,,194804.17,194804.17,190592.77
Ret.básicas: Albergue transeúntes,160,23123,120,8935.16,,8935.16,8249.6
Ret.compl.albergue transeuntes,160,23123,121,15937.98,,15937.98,15275.37
Ret.básicas: SEAFI,160,23132,120,39484.9,31668.47,71153.37,50226.19
Ret.complementarias: SEAFI,160,23132,121,52249.32,51175.37,103424.69,100569.31
Ret.básicas: Ayuda a domicilio,160,23136,120,60202.34,202.05,60404.39,54881.41
Ret.complementarias: Ayuda a domicilio,160,23136,121,95189.08,,95189.08,92213.17
Ret.básicas: Escola d'Estiu,160,23211,120,12555.27,555.27,13110.54,8013.78
Ret.compl. Escola d'estiu,160,23211,121,19532.73,4513.78,24046.51,14162.94
Productividad: Escola d'estiu,160,23211,150,,208.89,208.89,337.5
Pers.lab.temporal: Comercio,160,430,131,24732.7,1538.43,26271.13,24095.53
Productividad: Comercio,160,430,150,1600.0,,1600.0,619.2
Ret.básicas: Turismo,160,432,120,67163.31,-38661.22,28502.09,24270.57
Ret.complementarias: Turismo,160,432,121,87374.98,-50000.0,37374.98,33953.79
Pers.laboral temporal: Turismo,160,432,131,84505.5,-46500.0,38005.5,31003.38
Retribuciones altos cargos: Organos de gobierno,160,912,100,163968.14,,163968.14,152256.13
Retrib.P.eventual gabinete: Organos de Gobierno,160,912,110,30985.08,,30985.08,29312.87
Ret.básicas: Organos de gobierno,160,912,120,37163.2,2274.7,39437.9,33870.32
Ret.complementarias: Organos de Gobierno,160,912,121,59001.5,-3000.0,56001.5,56687.9
Productividad: Organos de gobierno,160,912,150,3000.0,-1350.0,1650.0,1240.0
Ret.básicas: Admón.general,160,9200,120,250805.67,31410.24,282215.91,234596.53
Ret.complementarias: Admón.general,160,9200,121,379284.82,44281.37,423566.19,396685.25
Productividad: Admón. general,160,9200,150,6000.0,15300.0,21300.0,13165.37
Seguridad Social: Pensiones y otras prestaciones,160,9200,16000,2588974.54,-59190.75,2529783.79,2501974.75
Pensiones a cargo de la entidad,160,211,16105,10000.0,-10000.0,,
Pers.lab.temporal: Participación ciudadana,160,9240,131,34285.9,,34285.9,32247.49
Ret.básicas: Política económica y fiscal,160,931,120,77043.24,,77043.24,71482.06
Ret.complementarias: Política económica y fiscal,160,931,121,130355.44,,130355.44,125371.26
Productividad: Política económica y fiscal,160,931,150,5000.0,-311.37,4688.63,3170.06
Ret.básicas: Gestión del sistema tributario,160,932,120,111802.16,-10000.0,101802.16,91275.75
Ret.complement.: Gestión sistema tributario,160,932,121,149908.18,-6376.98,143531.2,127020.0
Ret.básicas: Gtión.deuda y tesorería,160,934,120,46829.14,-6941.69,39887.45,36713.4
Gratificaciones: SEAFI,160,23132,151,,,,145.26
Combustible y carburantes: Ayuda a domicilio,470,23136,22103,,,,808.02
Convenio Centre Instructiu d'Art i Cultura,480,334,48505,8000.0,,8000.0,8000.0
Primas de seguros: Admón.general,160,9200,224,148729.97,-35617.06,113112.91,68356.96
Convenio Ateneu Musical Schola Cantorum,480,334,48504,8000.0,,8000.0,8000.0
Convenio Unión Musical Vallduxense,480,334,48507,1500.0,,1500.0,1500.0
Convenio Amics de la Vall,480,334,48508,1500.0,,1500.0,1500.0
Convenio Joventuts Musicals,480,334,48509,1000.0,,1000.0,1000.0
Reuniones y conferencias: TFIL discapacitados,320,24104,22606,,,,338.26
Otros suministros: Obras municipales,320,24156,22199,,-40000.0,-40000.0,2934.31
Honorarios redacc. proyecto parking Emsevall,220,155,622,,46716.04,46716.04,46716.04
Seguridad Social: Paro INEM 2012,160,24155,16000,,65152.87,65152.87,62096.04
Comunicaciones postales: Admón.general,160,9200,22201,60000.0,21240.0,81240.0,84160.85
Intereses: Deuda pública,301,011,310,601395.22,25626.96,627022.18,581605.61
Personal lab.temporal: PIE ayudas desempleo,160,24157,131,,26746.88,26746.88,23230.69
Seguridad Social: PIE ayudas desempleo,160,24157,16000,,8842.49,8842.49,7131.41
"Formación, reuniones y conferencias: PIE perceptor",320,24157,22606,,994.8,994.8,94.4
Gratificaciones: Admón Gral Medio Ambiente,160,170,151,,,,46.4
Elementos de transporte: Servicios generales,160,9200,624,,2500.0,2500.0,2500.0
Productividad: Gestión del Sistema tributario,160,932,150,,,,1127.96
Arrendamiento maquinaria: Cultura,480,330,203,1350.0,-430.0,920.0,
Adquisición inmuebles PMS: Urbanismo,220,151,681,1562586.87,3033.7,1565620.57,1091803.32
Inversiones servio alumbrado público,220,165,619,315952.2,160750.7,476702.9,160750.7
Subvenciones arqueológicas,220,336,781,855.0,,855.0,
Préstamos a corto plazo: Admón.general,160,9200,830,60000.0,-17700.0,42300.0,22444.0
Gratificaciones: Albergue Transeúntes,160,23123,151,,3300.0,3300.0,2923.2
Otros contratos servicios: Escola d'Estiu,450,23211,22799,,600.0,600.0,
Ret.básicas: Centre d'esplai i Jove,160,23212,120,5664.37,,5664.37,5017.78
Ret.complementarias: Centre d'Esplai i Jove,160,23212,121,8358.25,,8358.25,7990.24
Pers.laboral: Centre d'esplai i centre jove,160,23212,130,,,,20253.28
Pers.lab.temporal: Centre d'esplai i jove,160,23212,131,43631.87,-11592.81,32039.06,17694.87
Ret.básicas: Universitat Popular,160,23213,120,41838.42,-7007.18,34831.24,35361.34
Ret.complementarias: Universidad Popular,160,23213,121,56691.64,2627.85,59319.49,51354.78
Productividad: Universidad Popular,160,23213,150,,250.0,250.0,243.75
Ret.básicas: ISI pueblo gitano,160,23218,120,166288.84,-148919.42,17369.42,14309.92
Ret.complementarias: ISI pueblo gitano,160,23218,121,207945.88,-189308.86,18637.02,17961.57
Ret.básicas: Tercera edad,160,23223,120,16452.96,-640.82,15812.14,14402.42
Ret.complementarias: Tercera edad,160,23223,121,20152.1,,20152.1,19411.58
Ret.básicas: Inmigración,160,23225,120,9797.24,,9797.24,9070.97
Ret.compl.: Inmigración,160,23225,121,12528.84,,12528.84,12050.21
Pers.laboral temporal: Inmigración,160,23225,131,58568.28,375.12,58943.4,55288.15
Ret.básicas: Hogar Sagrada Familia,160,2335,120,369725.25,31983.83,401709.08,377955.83
Ret.complementarias: Hogar Sag.Familia,160,2335,121,593550.62,127370.81,720921.43,715941.16
Pers.lab.temporal: Hogar Sag.familia,160,2335,131,343055.0,-106526.74,236528.26,145758.49
Productividad: Hogar Sag.Familia,160,2335,150,4500.0,3000.0,7500.0,5644.09
Gratificaciones: Hogar Sag.Familia,160,2335,151,9000.0,7688.0,16688.0,18804.28
Pers.Lab.temporal: CRIS,160,2337,131,282805.92,348.55,283154.47,267294.1
Ret.básicas: Fomento de empleo,160,24100,120,,31700.0,31700.0,29649.17
Ret.complementarias: Fomento de empleo,160,24100,121,,25419.49,25419.49,38343.13
Pers.laboral temporal: Fomento de empleo,160,24100,131,40817.33,53821.21,94638.54,36274.18
Seguridad social: Fomento empleo,160,24100,16000,5000.0,-4300.0,700.0,
Pers.laboral: T.E. Ecovall,160,24103,131,450000.0,,450000.0,446534.08
Seg.Social: T.E. Ecovall,160,24103,16000,119454.9,,119454.9,53737.71
Seguridad Social: TFIL discapacitados recepcionist,160,24104,16000,4313.88,1780.0,6093.88,5703.98
Personal laboral: TFIL discapacitados recepcionist,160,24104,131,13230.52,161.0,13391.52,12854.23
Pers.lab.: Salario Joven,160,24101,131,8233.85,,8233.85,9388.07
Seguridad social: Salario joven,160,24101,16000,2643.05,620.0,3263.05,3211.73
Transferencias grupos políticos: Organos gobierno,500,912,489,45000.0,2800.0,47800.0,47795.88
Intereses de demora: Gestión deuda y Tesorería,301,934,352,15000.0,12205.0,27205.0,18808.17
Otros gastos financieros: Gestión deuda y tesorerí,301,934,359,5000.0,1141.04,6141.04,674.34
Programa menjar i major a casa,470,23135,450,22000.0,,22000.0,13666.25
Convenio Cáritas,470,23224,48306,34400.0,,34400.0,34400.0
Convenio Antenas Locales COCIN: Desarrollo empre,320,433,479,26869.28,1470.27,28339.55,28339.55
Premios concurso escaparatismo,320,430,470,1620.0,,1620.0,
"Reuniones, conferencias: Nuevas tecnologías",180,9200,22606,,,,
Pers.lab.temporal: TFIL limpieza edificios,160,24102,131,10173.91,,10173.91,8996.0
Seguridad Social: TFIL experto limpieza edificios,160,24102,16000,3307.29,1510.0,4817.29,4804.7
Pers.laboral temporal: Obras y serv.estado,160,24155,131,,197583.32,197583.32,187597.16
Premios y Becas Ed. Preescolar y Primaria,450,321,481,22000.0,,22000.0,18225.59
Ret.básicas: Educación,160,320,120,62569.9,8700.0,71269.9,84953.51
Ret.complem. Educación,160,320,121,92631.72,45236.16,137867.88,139026.62
Pers.lab.fijo: Educación,160,320,130,135021.51,4900.0,139921.51,101634.46
Convenio Asociación arqueológica,450,320,48506,1000.0,,1000.0,1000.0
Productividad: Educación,160,320,150,1500.0,,1500.0,
Pers.lab.temporal: EPA,160,3231,131,11223.27,2606.48,13829.75,7381.21
Ret.básicas: Cultura,160,330,120,126343.94,70.0,126413.94,138749.28
Ret.complementarias: Cultura,160,330,121,168044.76,,168044.76,185525.94
Pers.lab.temporal: Cultura,160,330,131,18866.79,,18866.79,
Productividad: Cultura,160,330,150,1500.0,6600.0,8100.0,6563.22
Ret.básicas: Arqueología y patrim.histórico,160,336,120,91790.85,-30991.43,60799.42,35373.23
Ret.compl.: Arqueologia y patrim.historico,160,336,121,112224.72,-60000.0,52224.72,40994.95
Ret.básicas: Deportes,160,340,120,65065.01,23800.0,88865.01,78966.68
Ret.compl.: Deportes,160,340,121,97316.66,33294.68,130611.34,127223.94
Pers.lab.fijo: Deportes,160,340,130,105229.04,-10249.4,94979.64,86826.49
Pers.Lab.temporal: Deportes,160,340,131,51530.82,,51530.82,49767.42
Productividad: Deportes,160,340,150,6000.0,2460.73,8460.73,7150.0
Ret.básicas. Agricultura,160,410,120,23633.76,9167.99,32801.75,29880.3
Ret.compl. Agricultura,160,410,121,32619.2,15226.06,47845.26,46468.35
Productividad: Agricultura,160,410,150,,800.0,800.0,712.5
Gratificaciones: Agricultura,160,410,151,,102.48,102.48,102.48
Ret.básicas: Industria,160,422,120,17487.02,-9.42,17477.6,16314.28
Ret.complementarias: Industria,160,422,121,18937.32,,18937.32,18144.17
Ret.básicas: Comercio,160,430,120,32452.78,,32452.78,32036.39
Ret.complementarias: Comercio,160,430,121,38224.72,,38224.72,37065.07
Ret.complementarias: Gestión deuda y tesorería,160,934,121,75959.44,-9509.3,66450.14,64187.42
Productividad: Gestión deuda y Tesorería,160,934,150,,,,10606.74
Seguros pers.laboral: Formación profesional,160,24120,16205,950.0,,950.0,
Seguros pers.laboral: Talleres,160,24130,16205,950.0,,950.0,
Seguros pers.laboral: otra formación empleo,160,24140,16205,950.0,,950.0,
Tributos estatales: Admón.general,160,9200,22500,1500.0,520.0,2020.0,2822.55
Tributos Generalitat (ITV): Admón.general,160,9200,22501,1500.0,,1500.0,2347.46
Atenc.protocolarias representativas: Admón.general,160,9200,22601,500.0,,500.0,4372.82
Publicidad y propaganda: Admón.general,160,9200,22602,500.0,,500.0,24397.36
Publicaciones en diarios Of.: Admón.general,160,9200,22603,5000.0,,5000.0,5276.33
Jurídicos: Admón.general,160,9200,22604,80000.0,34667.76,114667.76,138972.77
Reuniones y conferencias: Admón.general,160,9200,22606,2000.0,,2000.0,
Otros gastos diversos: Admón.general,160,9200,22699,4000.0,,4000.0,3645.93
Otros contratos servicios: Admón.general,160,9200,22799,23000.0,,23000.0,9906.4
Dietas personal: Admón.general,160,9200,23020,5000.0,-1986.0,3014.0,1874.76
Gastos locomoción: Admón.general,160,9200,231,2500.0,437.0,2937.0,2292.85
Otras indemnizaciones: Admón.general,160,9200,233,13000.0,4600.0,17600.0,15252.34
Material de oficina: Juzgado de Paz,160,9201,220,500.0,,500.0,453.4
Reparac.maquinaria: Seguridad y orden público,170,132,213,4000.0,,4000.0,3245.25
Reparac.mantenim.vehículos: Seguridad y orden públ,170,132,214,10000.0,,10000.0,11904.98
Material de oficina: Seguridad y orden público,170,132,220,,,,75.02
Combustible y carburantes: Seguridad y orden públi,170,132,22103,11000.0,,11000.0,17695.0
Vestuario: Seguridad y orden público,170,132,22104,10000.0,,10000.0,3094.0
Otros suministros: Seguridad y orden público,170,132,22199,6500.0,,6500.0,8848.39
Publicidad: Seguridad y orden público,170,132,22602,3000.0,,3000.0,
Reuniones y conferencias: Seguridad y orden públic,170,132,22606,500.0,,500.0,297.69
Otros trabajos realizados empresas: Seg.y Orden pú,170,132,22799,11000.0,,11000.0,11519.2
Mantenimiento infraestruc.: Ord. tráfico y estac.,170,133,210,10000.0,,10000.0,8156.62
Ontrato gestión de estacionam. vehículos,170,133,22701,354041.52,,354041.52,291608.54
Reparac. maquinaria e inst.: Política Ec.y Fiscal,301,931,213,100.0,,100.0,456.65
Material de oficina: Polítca Ec. y Fiscal,301,931,220,2300.0,,2300.0,2585.18
Jurídicos: Política Ec. y fixal,301,931,22604,5000.0,,5000.0,9406.42
Estudios y trabajos técnicos: Polít. Ec. y fiscal,301,931,22706,1500.0,,1500.0,
Material oficina: Gestión sistema tributario,301,932,220,11000.0,,11000.0,7757.4
Comunicaciones postales: Gestión del sistema tribu,301,932,22201,14100.0,,14100.0,13731.03
Publicidad y propaganda: Gestión S. Tributario,301,932,22602,1000.0,,1000.0,
Estudios y trabajos técnicos: Gestión Sist.Tributa,301,932,22706,22500.0,-485.0,22015.0,21905.07
Mantenimiento softare,301,934,22799,1000.0,,1000.0,
Arrendam. maquinaria: Serv.sociales,470,230,203,1296.0,-1296.0,,
Reparac. maquinaria: Serv.sociales,470,230,213,360.0,-228.0,132.0,131.34
Material oficina: Serv.Sociales,470,230,220,1260.0,-993.0,267.0,266.95
Reuniones y conferencias: Serv.sociales,470,230,22606,2700.0,-2700.0,,
Dietas personal: Serv.sociales,470,230,23020,787.5,-757.0,30.5,
Publicidad y propaganda: Informac.asesoramiento,470,2311,22602,5130.0,-5090.0,40.0,39.0
Energía eléctrica: Albergue transeúntes,470,23123,22100,4500.0,-4500.0,,
Productos alimenticios: Albergue transeúntes,470,23123,22105,7000.0,-4950.0,2050.0,2016.21
Productos farmacéuticos: Albergue transeúntes,470,23123,22106,400.0,,400.0,109.4
Productos limpieza y aseo: Albergue transeúntes,470,23123,22110,486.0,,486.0,
Otros gastos diversos: Albergue transeúntes,470,23123,22699,729.0,,729.0,685.13
Publicidad y propaganda: Formación de padres,470,23133,22602,2025.0,397.61,2422.61,421.08
Mantenimiento edificio: Clubs de convivencia,470,23134,212,3000.0,,3000.0,1186.0
Vestuario: Ayuda a domicilio,470,23136,22104,270.0,,270.0,343.97
Productos limpieza: Ayuda a domicilio,470,23136,22110,450.0,,450.0,466.87
Otros suministros: Ayuda a domicilio,470,23136,22199,2500.0,,2500.0,1194.58
Otros contratos servicios: Menores en medio abiert,470,23137,22799,,,,1999.7
Publicidad y propaganda: Escola d'estiu,450,23211,22602,1100.0,650.0,1750.0,1379.62
Otros gastos diversos: Escola d'Estiu,450,23211,22699,4050.0,,4050.0,7941.15
Otros gastos diversos: Centre d'Esplai i Jove,450,23212,22699,6300.0,,6300.0,5550.17
Comisión fiestas Sagrada Familia y Santísimo Crist,430,338,48602,15000.0,,15000.0,15000.0
Publicidad y propaganda: Universidad popular,450,23213,22602,5670.0,,5670.0,2983.04
Contratos profesores Universidad Popular,450,23213,22606,56700.0,-14500.0,42200.0,29693.46
Otros gastos diversos: Universidad Popular,450,23213,22699,6480.0,,6480.0,3520.92
Otros gastos diversos: UPC,470,23216,22699,14580.0,-14550.0,30.0,28.32
Otros gastos diversos: Voluntariado Social,470,23222,22699,1620.0,,1620.0,
Reuniones y conferencias: Tercera edad,470,23223,22606,8100.0,,8100.0,10297.04
Otros gastos diversos: Tercera edad,470,23223,22699,16200.0,-7678.43,8521.57,5737.89
Reuniones y conferencias: Inmigración,470,23225,22606,14725.0,-14000.0,725.0,
Otros gastos diversos: Inmigración,470,23225,22699,64210.86,-59806.55,4404.31,123.75
Otros gastos diversos: Discapacitados,470,23226,22699,2430.0,,2430.0,150.8
Otros gastos diversos: Dones i Isonomías,470,23227,22699,8100.0,-1800.0,6300.0,1366.89
Reparac. y conserv. edif.: Centros sociales,470,23228,212,2000.0,,2000.0,1950.97
Comisión de Fiestas Sant Vicent Ferrer,430,338,48601,15000.0,,15000.0,15000.0
Repar. y conserv. maquinaria: Centros Sociales,470,23228,213,8000.0,950.0,8950.0,11823.2
Combustibles y carburantes: Centros Sociales,470,23228,22103,3000.0,,3000.0,1578.63
Otros contratos servicios: Centros sociales,470,23228,22799,,,,
Reparaciones edificios: Hogar Sag.familia,470,2335,212,14400.0,,14400.0,4698.33
Reparaciones maquinaria: Hogar Sag.Familia,470,2335,213,4500.0,,4500.0,5221.69
Combustible y carburantes: Hogar Sag.Familia,470,2335,22103,13500.0,,13500.0,21617.52
Vestuario: Hogar Sag.Familia,470,2335,22104,4500.0,,4500.0,3655.29
Comisión Fiestas Junta Local Fallera,430,338,48603,15000.0,,15000.0,15000.0
Productos alimenticios: Hogar Sag.Familia,470,2335,22105,117247.5,-4476.0,112771.5,120371.04
Productos limpieza: Hogar Sag.Familia,470,2335,22110,21352.5,,21352.5,17310.69
Otros suministros: Hogar Sag.Familia,470,2335,22199,21024.0,,21024.0,13641.77
Otros contratos servicios: Hogar Sag.Familia,470,2335,22799,5400.0,,5400.0,7126.18
Mantenim. maquin. instalac.: CRIS,470,2337,213,1800.0,,1800.0,2128.94
"Mat. Oficina, prensa, revistas: CRIS",470,2337,220,900.0,,900.0,258.25
Combustible y carburantes: CRIS,470,2337,22103,3600.0,,3600.0,3218.37
Otros gastos diversos: CRIS,470,2337,22699,4500.0,-2100.0,2400.0,2254.77
Servicio transporte adaptado varios centros,470,312,223,4500.0,-4500.0,,
Otros gastos diversos: Participación ciudadana,470,9240,22699,3240.0,-3240.0,,
Combustible y carburantes: Vías Públicas,220,155,22103,9000.0,,9000.0,11106.94
Vestuario: Vías Públicas,220,155,22104,4500.0,,4500.0,5957.72
Comisión Fiestas Penyes en Festes,430,338,48604,15000.0,,15000.0,15000.0
Publicidad y propaganda: Urbanismo,220,151,22602,3000.0,,3000.0,1479.08
"Jurídicos, contenciosos: Urbanismo",220,151,22604,90000.0,-25000.0,65000.0,62706.63
Estudios y trabajos técnicos: Urbanismo,220,151,22706,65000.0,-64592.65,407.35,
Arrendamiento edifcios: Educación,220,320,202,15862.88,-13000.0,2862.88,
Arrendamiento edificios y construc.: Admón. genera,220,9200,202,70000.0,-20000.0,50000.0,10218.48
Arrendam. vehículos: Vías Públicas,220,155,204,13318.8,-5760.16,7558.64,
Cánones y tasas: Urbanismo,220,151,209,,,,71.0
Reparac. mantenim. infraestruc.: Vías Públicas,220,155,210,60000.0,809.76,60809.76,56894.21
Reparac. mantenim.infraestruc.: Alumb.público,220,165,210,470864.61,815.18,471679.79,399955.06
Reparac.mantenim.conserv.edificios: Admón.general,220,9200,212,50000.0,-16306.55,33693.45,22553.83
Mantenim. conserv.maquinaria: Vías públicas,220,155,213,1500.0,,1500.0,1771.58
Mantenim.y conserv. maquinaria: Admón.general,220,9200,213,36520.0,-11500.0,25020.0,19851.75
Reparac. y mantenim. parque móvil,220,151,214,5000.0,,5000.0,11718.57
Material oficina: Urbanismo,220,151,220,500.0,,500.0,2119.53
Comisión Federación de Fiestas,430,338,48605,59500.0,,59500.0,59500.0
Aportación Consorcio Prov.Serv.Prev.incendios,160,134,467,193475.99,5891.45,199367.44,199367.44
Aport. Federación Municipios y Provincias: Admón.g,160,9200,48202,9000.0,,9000.0,8596.84
Pretaciones Económicas Individuales (PEI),470,23121,480,294500.0,3000.0,297500.0,292471.91
Material de Oficina: Organos de Gobierno,500,912,220,2000.0,,2000.0,
Atenciones protocolarias y repres.: Organos gobier,500,912,22601,20000.0,7000.0,27000.0,15347.79
Publicidad y propaganda: organos gobierno,500,912,22602,99440.0,36000.0,135440.0,144764.0
Otros gastos diversos: Organos gobierno,500,912,22699,5000.0,,5000.0,567.72
Dietas: Organos gobierno,500,912,23000,2000.0,-705.0,1295.0,143.35
Otras indemnizaciones: Organos gobierno,500,912,233,160000.0,,160000.0,121953.92
Convenio Asociación Cultural Petit Festival,480,334,48510,500.0,,500.0,
"Convenio Junta Coordinadora cofradías S,Santa",480,334,48511,1000.0,,1000.0,1000.0
"Convenio ""Comisión Órgano 2000""",480,334,48512,1000.0,,1000.0,1000.0
Convenio Club de Fútbol La Vall,190,341,48401,15000.0,,15000.0,15000.0
Convenio Club Ciclista Manrubia,190,341,48403,2700.0,,2700.0,2700.0
Subvención Club Terratremols Open España,190,341,48404,1000.0,,1000.0,1000.0
Convenio Unión Deportiva Vall de Uxó,190,341,48408,15000.0,,15000.0,15000.0
Renta garantizada,470,23124,480,30916.32,68947.33,99863.65,97535.35
Subvenciones acogimientos familiares,470,23131,480,25200.0,,25200.0,18360.0
Subvenciones Clubs de Convivencia,470,23134,48300,10260.0,,10260.0,10260.0
Becas: Tapis,470,23215,481,9000.0,,9000.0,8456.5
Subvenciones Entidades Sociales,470,23221,48300,18720.0,,18720.0,18406.66
Convenio Isonomía,470,23227,48306,,1800.0,1800.0,1800.0
Cooperación Internacional al Desarrollo,470,23229,489,15000.0,,15000.0,15000.0
Convenio Asociación Daño Cerebral sobrevenido,470,2331,480,1440.0,,1440.0,1221.57
"Convenio Fundación Alzheimer ""Salomé Moliner""",470,2336,480,13680.0,,13680.0,13680.0
Convenio Cruz Roja,470,312,48203,30000.0,35000.0,65000.0,65000.0
Subvenciones participación ciudadana,470,9240,489,10000.0,1000.0,11000.0,9508.45
Subvención Emsevall: servicio transporte,220,442,449,200880.0,,200880.0,200880.0
Becas: Otra formación para el empleo,320,24140,481,31137.37,-25000.0,6137.37,
Becas: TFIL discapacitados recepcionista,320,24104,481,7300.0,1000.0,8300.0,7770.0
Becas: TFIL experto limpieza edificios,320,24102,481,5400.0,,5400.0,5200.0
