#DENOMINACIÓN,ORGÁNICA,PROGRAMAS,ECONÓMICA,CRÉDITOS INICIALES,MODIFICACIONES,CRÉDITOS DEFINITIVOS,OBLIGACIONES RECONOCIDAS
Ret.complementarias: Medio Ambiente,160,170,121,88851.32,792.0,89643.32,90688.6
Asistencia médico-farmaceútica empleados,160,221,16008,,2200.0,2200.0,16599.59
Acción social: Otras prestac.emp.públicos,160,221,16204,15000.0,38250.0,53250.0,42738.81
Seguros: Otras presetaciones ec.empleados,160,221,16205,35000.0,-15000.0,20000.0,15709.4
Ret.básicas: Serv.sociales,160,230,120,150373.95,6216.0,156589.95,156588.98
Ret.complementarias: Serv.sociales,160,230,121,189720.58,8462.16,198182.74,197822.38
Ret.básicas: Albergue transeúntes,160,23123,120,9042.92,,9042.92,9042.92
Ret.compl.albergue transeuntes,160,23123,121,15937.98,,15937.98,15937.98
Ret.básicas: SEAFI,160,23132,120,55958.08,-3000.0,52958.08,52899.65
Ret.complementarias: SEAFI,160,23132,121,70787.64,1920.0,72707.64,72707.57
Ret.básicas: Turismo,160,432,120,35379.22,240.0,35619.22,35611.58
Ret.complementarias: Turismo,160,432,121,49500.34,,49500.34,49500.34
Pers.laboral temporal: Turismo,160,432,131,33009.68,,33009.68,33028.23
Retribuciones altos cargos: Organos de gobierno,160,912,100,163968.14,,163968.14,163968.14
Retrib.P.eventual gabinete: Organos de Gobierno,160,912,110,29021.34,1964.0,30985.34,30985.08
Ret.básicas: Organos de gobierno,160,912,120,36918.06,,36918.06,36918.06
Ret.complementarias: Organos de Gobierno,160,912,121,59001.5,,59001.5,59001.5
Productividad: Organos de gobierno,160,912,150,2500.0,-1659.99,840.01,840.0
Ret.básicas: Admón.general,160,9200,120,263178.95,-4000.0,259178.95,258781.47
Ret.complementarias: Admón.general,160,9200,121,394039.3,22542.0,416581.3,416588.22
Productividad: Admón. general,160,9200,150,6000.0,13856.38,19856.38,18522.31
Seguridad Social: Pensiones y otras prestaciones,160,9200,16000,2551041.71,-66266.64,2484775.07,2482054.8
Pers.lab.temporal: Participación ciudadana,160,9240,131,,2380.97,2380.97,2285.72
Ret.básicas: Política económica y fiscal,160,931,120,77439.84,-5000.0,72439.84,72416.31
Ret.complementarias: Política económica y fiscal,160,931,121,130355.44,4426.0,134781.44,134780.87
Productividad: Política económica y fiscal,160,931,150,3500.0,75.0,3575.0,2689.35
Ret.básicas: Gestión del sistema tributario,160,932,120,102851.2,-2900.0,99951.2,99872.59
Ret.complement.: Gestión sistema tributario,160,932,121,135867.42,-3600.0,132267.42,132178.84
Ret.básicas: Gtión.deuda y tesorería,160,934,120,47075.32,,47075.32,41771.27
Ret.complementarias: Gestión deuda y tesorería,160,934,121,75959.44,,75959.44,63716.65
Productividad: Gestión deuda y Tesorería,160,934,150,2000.0,4423.0,6423.0,5752.4
Seguros pers.laboral: Formación profesional,160,24120,16205,950.0,-550.0,400.0,391.63
Seguros pers.laboral: Talleres,160,24130,16205,950.0,-950.0,,
Seguros pers.laboral: otra formación empleo,160,24140,16205,950.0,-950.0,,
Material de Oficina: Organos de Gobierno,500,912,220,2000.0,,2000.0,
Atenciones protocolarias y repres.: Organos gobier,500,912,22601,20000.0,,20000.0,24273.05
Publicidad y propaganda: organos gobierno,500,912,22602,99440.0,5877.45,105317.45,107531.01
Otros gastos diversos: Organos gobierno,500,912,22699,5000.0,,5000.0,2270.91
Dietas: Organos gobierno,500,912,23000,2000.0,,2000.0,
Otras indemnizaciones: Organos gobierno,500,912,233,160000.0,,160000.0,110742.0
Reparación y conserv.edificios: Cultura,480,330,212,2600.0,,2600.0,2631.79
Otros gastos diversos: Cultura,480,330,22699,18200.0,-1500.0,16700.0,4406.77
"Material oficina(Prensa,rev.): Biblioteca y archiv",480,332,220,3900.0,,3900.0,
Publicidad y propaganda: Promoción cultural,480,334,22602,16300.0,,16300.0,17669.29
Otros gastos diversos: Promoción cultural,480,334,22699,15400.0,-450.0,14950.0,
Otros contratos de servicios: Promoción cultural,480,334,22799,6800.0,1000.0,7800.0,42250.12
Otros suministros diversos: Arqueología y patrimon,480,336,22199,250.0,,250.0,
Otros gastos diversos: Arqueologia y patrimonio,480,336,22699,1500.0,,1500.0,
Otros contratos servicios: Arqueología y patrimoni,480,336,22799,3800.0,-1100.0,2700.0,
Reparaciones maquinaria: Nuevas teconologías,180,9200,213,,,,3021.28
Rep.mantenim.equipos informáticos: Admon.general,180,9200,216,16000.0,-3000.0,13000.0,14712.94
Material de oficina(infomático): Admón.general,180,9200,220,9000.0,,9000.0,8505.38
Comunicaciones informáticas: Nuevas tecnologías,180,9200,22200,108000.0,-4000.0,104000.0,89160.67
Servicios y mantenimiento softward: Admón.general,180,9200,22799,52000.0,,52000.0,50319.24
Otros suministros: Sanidad y consumo,450,313,22199,,,,1.4
Reuniones y conferencias: Sanidad y consumo,450,313,22606,1000.0,,1000.0,2021.95
Control plagas y recog.animales:Sanidad y consumo,450,313,22700,25000.0,4500.0,29500.0,23981.36
Mantenim.rep. y conserv.: Cementerio,450,164,212,4000.0,-1000.0,3000.0,2646.07
Otros suministros: Cementerio,450,164,22199,4000.0,,4000.0,3662.97
Material oficina: Deportes,190,340,220,100.0,,100.0,
Otros gastos diversos: Deportes,190,340,22699,12000.0,6300.0,18300.0,16943.76
Publicidad y propaganda: Promoc.fomento deporte,190,341,22602,14000.0,,14000.0,12053.4
Gastos diversos: Escuelas deportivas municipales,190,341,22699,7000.0,,7000.0,7000.0
Mantenim. y const.edificios: Instalaciones deporti,190,342,212,7000.0,,7000.0,5310.21
Mantenimiento maquinarias: Instalaciones deportiva,190,342,213,500.0,,500.0,
Combustibles y carburantes: Instal. deportivas,190,342,22103,8000.0,,8000.0,9210.14
"Recogida,transporte, eliminac.y trat.residuos",240,162,22700,665475.82,-37484.83,627990.99,624835.63
Servicio de limpieza viaria,240,163,22700,812498.58,-71655.7,740842.88,740842.88
Otros suministros: Medio ambiente,240,170,22199,3000.0,,3000.0,1501.7
Otros gastos diversos: Medio ambiente,240,170,22699,1000.0,9982.82,10982.82,11519.49
Estudios y trabaj.técnicos: Medio ambiente,240,170,22706,,,,1633.5
Otros contratos servicios: Medio ambiente,240,170,22799,30000.0,,30000.0,30430.17
Publicidad y propaganda: Medio ambiente,240,170,22602,5000.0,,5000.0,925.65
Combustible y carburantes: Agricultura,240,410,22103,8000.0,2300.0,10300.0,10246.19
Otros suministros diversos: Agricultura,240,410,22199,3500.0,425.0,3925.0,5426.53
Publicidad y propaganda: Agricultura,240,410,22602,2100.0,,2100.0,
Reparac.conservac.vías rústics: Vías públicas,240,155,210,20000.0,-3425.0,16575.0,15862.21
Mantenim.conservac.infra.: Parques y jardines,240,171,210,450000.0,-68000.0,382000.0,382055.35
"Cánones: Saneamiento,alcantarillado y dep.aguas",240,161,209,32300.0,-6656.45,25643.55,24506.43
Arrendam.maquinaria instalaciones: Admón.general,160,9200,203,1000.0,,1000.0,
Reparac.maquinaria e instal.: Admón.general,160,9200,213,1500.0,1822.2,3322.2,3414.98
Reparac.mantenim.parque móvil: Admón.general,160,9200,214,5500.0,,5500.0,7328.35
Material oficina: Admón.general,160,9200,220,16000.0,,16000.0,26092.81
Combustible parque móvil: Admón.general,160,9200,22103,6000.0,,6000.0,7787.49
Otros suministros: Admón.general,160,9200,22199,1000.0,,1000.0,5432.18
Comunicaciones postales: Admón.general,160,9200,22201,65000.0,,65000.0,51985.25
Ret.básicas: Ayuda a domicilio,160,23136,120,60471.74,2000.0,62471.74,60396.22
Ret.complementarias: Ayuda a domicilio,160,23136,121,95189.08,1212.0,96401.08,97605.93
Ret.básicas: Escola d'Estiu,160,23211,120,18125.82,-18125.82,,
Ret.compl. Escola d'estiu,160,23211,121,15249.24,-15249.24,,
Ret.básicas: Centre d'esplai i Jove,160,23212,120,5382.12,,5382.12,5382.12
Ret.complementarias: Centre d'Esplai i Jove,160,23212,121,8922.17,,8922.17,8358.32
Pers.laboral: Centre d'esplai i centre jove,160,23212,130,,,,21226.86
Pers.lab.temporal: Centre d'esplai i jove,160,23212,131,41409.34,-9453.36,31955.98,19356.22
Ret.básicas: Universitat Popular,160,23213,120,42068.5,3200.0,45268.5,37544.96
Ret.complementarias: Universidad Popular,160,23213,121,56691.64,,56691.64,52496.55
Productividad: Universidad Popular,160,23213,150,,,,850.0
Ret.básicas: ISI pueblo gitano,160,23218,120,15578.04,,15578.04,15076.37
Ret.complementarias: ISI pueblo gitano,160,23218,121,19277.66,,19277.66,18923.49
Ret.básicas: Tercera edad,160,23223,120,16452.96,,16452.96,16113.83
Ret.complementarias: Tercera edad,160,23223,121,20152.1,,20152.1,20026.8
Ret.básicas: Inmigración,160,23225,120,10234.82,210.0,10444.82,18065.81
Ret.compl.: Inmigración,160,23225,121,12528.84,,12528.84,25377.56
Pers.laboral temporal: Inmigración,160,23225,131,58618.98,188.0,58806.98,36351.2
Ret.básicas: Hogar Sagrada Familia,160,2335,120,395694.05,47032.69,442726.74,425748.01
Ret.complementarias: Hogar Sag.Familia,160,2335,121,644589.36,89160.4,733749.76,838784.17
Pers.lab.temporal: Hogar Sag.familia,160,2335,131,177521.94,17533.0,195054.94,98419.67
Productividad: Hogar Sag.Familia,160,2335,150,4000.0,,4000.0,2792.5
Gratificaciones: Hogar Sag.Familia,160,2335,151,7000.0,8219.0,15219.0,10538.0
Pers.Lab.temporal: CRIS,160,2337,131,283367.72,-25000.0,258367.72,257302.93
Ret.básicas: Fomento de empleo,160,24100,120,32118.8,,32118.8,29637.04
Ret.complementarias: Fomento de empleo,160,24100,121,40045.92,,40045.92,37756.96
Pers.laboral temporal: Fomento de empleo,160,24100,131,34084.64,,34084.64,29364.62
Seguridad social: Fomento empleo,160,24100,16000,15000.0,-6184.36,8815.64,649.32
Seg.Social: T.E. Ecovall,160,24103,16000,,4600.0,4600.0,4541.33
Pers.lab.temporal: T.E. Sant Josep,160,24133,131,,11700.0,11700.0,5707.22
Pers.lab.temporal: Obras y servicios EMCORP,160,24151,131,,1345.25,1345.25,689.85
Pers.laboral temporal: Obras y serv.estado,160,24155,131,,210436.37,210436.37,200879.22
Ret.básicas: Educación,160,320,120,82932.2,26336.0,109268.2,102681.73
Ret.complem. Educación,160,320,121,121811.54,10087.0,131898.54,154389.9
Pers.lab.fijo: Educación,160,320,130,90229.86,-3200.0,87029.86,66456.0
Productividad: Educación,160,320,150,1500.0,-1000.0,500.0,
Pers.lab.temporal: EPA,160,3231,131,11223.27,340.0,11563.27,8684.35
Ret.básicas: Cultura,160,330,120,159037.49,-11556.31,147481.18,147441.24
Ret.complementarias: Cultura,160,330,121,205748.46,-15359.37,190389.09,190385.9
Productividad: Cultura,160,330,150,3500.0,-2000.0,1500.0,1214.4
Ret.básicas: Arqueología y patrim.histórico,160,336,120,37934.57,26.0,37960.57,37959.92
Ret.compl.: Arqueologia y patrim.historico,160,336,121,42456.58,,42456.58,42456.58
Ret.básicas: Deportes,160,340,120,97553.13,5000.0,102553.13,83819.41
Ret.compl.: Deportes,160,340,121,143470.04,5146.0,148616.04,162353.75
Pers.lab.fijo: Deportes,160,340,130,105264.0,-13692.4,91571.6,90287.38
Pers.Lab.temporal: Deportes,160,340,131,62934.01,-23314.58,39619.43,38853.13
Productividad: Deportes,160,340,150,4000.0,2600.01,6600.01,6600.0
Ret.básicas. Agricultura,160,410,120,23937.72,,23937.72,22500.58
Ret.compl. Agricultura,160,410,121,32619.2,2402.0,35021.2,35021.06
Gratificaciones: Agricultura,160,410,151,,717.38,717.38,717.36
Ret.básicas: Industria,160,422,120,17765.18,51.0,17816.18,17815.88
Ret.complementarias: Industria,160,422,121,18937.32,,18937.32,18937.32
Ret.básicas: Comercio,160,430,120,32470.68,2700.0,35170.68,40566.63
Ret.complementarias: Comercio,160,430,121,38224.72,,38224.72,49351.37
Pers.lab.temporal: Comercio,160,430,131,20817.44,-1849.2,18968.24,1934.79
Productividad: Comercio,160,430,150,1000.0,200.0,1200.0,2200.0
Primas de seguros: Admón.general,160,9200,224,148729.97,-88248.4,60481.57,54636.93
Tributos estatales: Admón.general,160,9200,22500,1800.0,-1000.0,800.0,162.1
Tributos Generalitat (ITV): Admón.general,160,9200,22501,1500.0,700.0,2200.0,1849.11
Publicaciones en diarios Of.: Admón.general,160,9200,22603,5000.0,,5000.0,5719.78
Jurídicos: Admón.general,160,9200,22604,85000.0,-4200.0,80800.0,87737.96
Reuniones y conferencias: Admón.general,160,9200,22606,,,,150.0
Otros gastos diversos: Admón.general,160,9200,22699,2500.0,-1877.45,622.55,686.05
Otros contratos servicios: Admón.general,160,9200,22799,20000.0,,20000.0,16608.22
Dietas personal: Admón.general,160,9200,23020,3000.0,1600.0,4600.0,1622.36
Gastos locomoción: Admón.general,160,9200,231,2000.0,1100.0,3100.0,2370.41
Otras indemnizaciones: Admón.general,160,9200,233,10000.0,4819.03,14819.03,12577.55
Material de oficina: Juzgado de Paz,160,9201,220,,,,151.25
Reparac.maquinaria: Seguridad y orden público,170,132,213,3000.0,,3000.0,1407.82
Reparac.mantenim.vehículos: Seguridad y orden públ,170,132,214,9000.0,2905.0,11905.0,18305.71
Material de oficina: Seguridad y orden público,170,132,220,,,,200.19
Combustible y carburantes: Seguridad y orden públi,170,132,22103,10000.0,,10000.0,15932.41
Vestuario: Seguridad y orden público,170,132,22104,9000.0,,9000.0,11918.71
Otros suministros: Seguridad y orden público,170,132,22199,6000.0,,6000.0,14390.91
Publicidad: Seguridad y orden público,170,132,22602,2000.0,,2000.0,
Otros trabajos realizados empresas: Seg.y Orden pú,170,132,22799,6000.0,,6000.0,6474.82
Mantenimiento infraestruc.: Ord. tráfico y estac.,170,133,210,8000.0,,8000.0,9166.6
Ontrato gestión de estacionam. vehículos,170,133,22701,354041.52,,354041.52,247131.93
Reparac. maquinaria e inst.: Política Ec.y Fiscal,301,931,213,100.0,,100.0,
Material de oficina: Polítca Ec. y Fiscal,301,931,220,2300.0,,2300.0,2439.98
Jurídicos: Política Ec. y fixal,301,931,22604,5000.0,7000.0,12000.0,12088.44
Estudios y trabajos técnicos: Polít. Ec. y fiscal,301,931,22706,1500.0,2500.0,4000.0,3934.47
Material oficina: Gestión sistema tributario,301,932,220,11000.0,,11000.0,3729.66
Comunicaciones postales: Gestión del sistema tribu,301,932,22201,14100.0,10000.0,24100.0,28571.51
Publicidad y propaganda: Gestión S. Tributario,301,932,22602,1000.0,1000.0,2000.0,1038.18
Estudios y trabajos técnicos: Gestión Sist.Tributa,301,932,22706,22500.0,,22500.0,10847.7
Mantenimiento softare,301,934,22799,1000.0,,1000.0,
Arrendam. maquinaria: Serv.sociales,470,230,203,700.0,,700.0,185.35
Reparac. maquinaria: Serv.sociales,470,230,213,1700.0,850.0,2550.0,83.94
Material oficina: Serv.Sociales,470,230,220,700.0,,700.0,440.19
Dietas personal: Serv.sociales,470,230,23020,400.0,,400.0,
Publicidad y propaganda: Informac.asesoramiento,470,2311,22602,1630.0,-1100.0,530.0,529.98
Energía eléctrica: Albergue transeúntes,470,23123,22100,3000.0,-2112.5,887.5,
Productos alimenticios: Albergue transeúntes,470,23123,22105,5000.0,-3994.48,1005.52,515.92
Arrendamiento vehiculos: Medio ambiente,240,170,204,,,,326.81
Productividad: Albergue transeuntes,160,23123,150,,234.42,234.42,150.0
Aplicación informática: Comercio,320,430,641,,6630.8,6630.8,6630.8
Productividad: Pueblo Gitano,160,23218,150,,,,393.75
"Maquinaria, instalac.: Servicios Genrales",160,9200,623,,,,
Asociac. cultural Gitana,470,23221,48312,,1500.0,1500.0,1500.0
Centro Cultural Islámico,470,23221,48313,,1500.0,1500.0,
Material de oficina: Comercio,320,430,220,,,,600.0
Convenio Cáritas ejercicio 2011,470,23224,48314,,34400.0,34400.0,34400.0
Gastos jurídicos: Promoción cultural,480,334,22604,,64500.0,64500.0,64144.9
"Subvenciones línea ""Green Commerce""",320,43101,470,,10000.0,10000.0,
Convenio Cámara: Cursos idiomas,320,43102,479,,5000.0,5000.0,4000.0
Edificios y construcciones: Gestión tributaria,301,932,632,,7327.38,7327.38,7327.38
Elementos transporte: Seg. y Orden Público,170,132,624,,25041.85,25041.85,21480.0
Reparación y conservación edificios: Turismo,110,432,212,,,,5394.79
Seguridad Social.EMCORP,160,24151,16000,,454.02,454.02,
Otros suministros: Fomento de Empleo,320,24100,22199,,30000.0,30000.0,34786.0
Nuevas inversiones infraestructuras: Terrenos,220,151,600,,3095.49,3095.49,2834.01
Adquisición libros bibliioteca,480,332,625,,603.25,603.25,600.0
Productiviadad: Cementerio y Servicios Funerarios,160,164,150,,,,200.0
Productividad: SEAFI,160,23132,150,,47.07,47.07,
Otros contratos servicios: Teleasistencia,470,2332,22799,,1256.42,1256.42,621.47
Terrenos y bienes naturales: Cementerio,220,164,621,,114098.43,114098.43,114098.43
Convenio Smara,470,23221,48303,3652.0,,3652.0,3652.0
Rehabilitac. Centro Alzheimer Salomé Moliner,470,2330,789,,28391.5,28391.5,28391.5
Gratificaciones: Urbanismo,160,151,151,,,,754.0
Edificios y construccines: Servicios múltiples,220,933,622,,54441.37,54441.37,54441.37
Otros suministros: Gestión S. Tributaria,301,932,22199,,3000.0,3000.0,1276.55
Productividad: Tercera edad,160,23223,150,,1025.0,1025.0,1050.0
Productividad: Turismo,160,432,150,,3893.07,3893.07,4100.0
Mobiliario: Hogar Sagrada Familia,160,2335,625,,17709.3,17709.3,17709.3
"Maquinaria, instalaciones y utillaje: Hogar Sag.Fa",160,2335,623,,24721.15,24721.15,24721.15
Teleasistencia Cruz Roja,470,2332,48203,,3615.58,3615.58,2978.83
Gratificaciones: Tercera edad,160,23223,151,,,,561.0
Convenio Manos Unidas,470,23221,48310,6087.0,,6087.0,
Convenio Tupay,470,23221,48311,4261.0,,4261.0,4261.0
Gratificaciones: Comercio,160,430,151,,3015.0,3015.0,1216.08
Productividad: Medio Ambiente,160,170,150,,1800.0,1800.0,1750.0
Arrendamiento instalaciones: Comercio,320,430,203,,,,6673.15
Material de oficina: Fomento de empleo,320,24100,220,,,,352.62
Equipos informáticos: Centros Sociales,470,23228,626,,3000.0,3000.0,3000.0
Inversiones reposición edificios: Mercado,220,430,632,,61415.01,61415.01,60642.53
Reparación y conservación edificios: Deportes,190,340,212,,,,2715.67
Gratificaciones: Administración General,160,9200,151,,400.0,400.0,448.8
"Jurídicos, contenciosos: Medio Ambiente",240,170,22604,,,,
Productos farmacéuticos: Albergue transeúntes,470,23123,22106,400.0,,400.0,
Productos limpieza y aseo: Albergue transeúntes,470,23123,22110,486.0,,486.0,342.18
Otros gastos diversos: Albergue transeúntes,470,23123,22699,730.0,,730.0,1504.89
Publicidad y propaganda: Formación de padres,470,23133,22602,1025.0,,1025.0,
Mantenimiento edificio: Clubs de convivencia,470,23134,212,3000.0,,3000.0,2458.14
Vestuario: Ayuda a domicilio,470,23136,22104,270.0,,270.0,
Productos limpieza: Ayuda a domicilio,470,23136,22110,450.0,,450.0,623.69
Otros suministros: Ayuda a domicilio,470,23136,22199,2500.0,,2500.0,1842.41
Publicidad y propaganda: Escola d'estiu,450,23211,22602,1000.0,,1000.0,929.26
Otros gastos diversos: Escola d'Estiu,450,23211,22699,4050.0,-500.0,3550.0,3199.02
Otros gastos diversos: Centre d'Esplai i Jove,450,23212,22699,5500.0,,5500.0,5186.76
Publicidad y propaganda: Universidad popular,450,23213,22602,3500.0,,3500.0,208.85
Contratos profesores Universidad Popular,450,23213,22606,37000.0,-10000.0,27000.0,21113.0
Otros gastos diversos: Universidad Popular,450,23213,22699,6000.0,7500.0,13500.0,11560.7
Otros gastos diversos: Voluntariado Social,470,23222,22699,1620.0,,1620.0,837.98
Reuniones y conferencias: Tercera edad,470,23223,22606,8100.0,-1657.7,6442.3,6297.85
Otros gastos diversos: Tercera edad,470,23223,22699,16200.0,-11000.0,5200.0,8303.93
Reuniones y conferencias: Inmigración,470,23225,22606,14725.0,-14725.0,,
Otros gastos diversos: Inmigración,470,23225,22699,64210.86,-64210.86,,150.0
Otros gastos diversos: Discapacitados,470,23226,22699,2430.0,-1450.0,980.0,674.22
Otros gastos diversos: Dones i Isonomías,470,23227,22699,8000.0,-6000.0,2000.0,990.89
Reparac. y conserv. edif.: Centros sociales,470,23228,212,3000.0,,3000.0,4579.2
Repar. y conserv. maquinaria: Centros Sociales,470,23228,213,12000.0,-3000.0,9000.0,6392.57
Combustibles y carburantes: Centros Sociales,470,23228,22103,3000.0,,3000.0,976.02
Reparaciones edificios: Hogar Sag.familia,470,2335,212,14400.0,,14400.0,7500.23
Reparaciones maquinaria: Hogar Sag.Familia,470,2335,213,4500.0,,4500.0,4610.79
Combustible y carburantes: Hogar Sag.Familia,470,2335,22103,13500.0,,13500.0,17943.51
Vestuario: Hogar Sag.Familia,470,2335,22104,4500.0,,4500.0,5569.43
Productos alimenticios: Hogar Sag.Familia,470,2335,22105,123071.5,-12800.0,110271.5,113045.52
Productos limpieza: Hogar Sag.Familia,470,2335,22110,21352.5,,21352.5,25025.31
Otros suministros: Hogar Sag.Familia,470,2335,22199,21024.0,,21024.0,11104.97
Otros contratos servicios: Hogar Sag.Familia,470,2335,22799,5400.0,,5400.0,7941.68
Mantenim. maquin. instalac.: CRIS,470,2337,213,1800.0,,1800.0,2346.7
"Mat. Oficina, prensa, revistas: CRIS",470,2337,220,900.0,,900.0,832.41
Combustible y carburantes: CRIS,470,2337,22103,3600.0,,3600.0,2787.43
Otros gastos diversos: CRIS,470,2337,22699,5100.0,,5100.0,2480.42
Otros gastos diversos: Participación ciudadana,470,9240,22699,3240.0,-3240.0,,
Combustible y carburantes: Vías Públicas,220,155,22103,10000.0,,10000.0,12440.34
Vestuario: Vías Públicas,220,155,22104,4500.0,,4500.0,5280.18
Publicidad y propaganda: Urbanismo,220,151,22602,3000.0,,3000.0,1149.5
"Jurídicos, contenciosos: Urbanismo",220,151,22604,30000.0,1103.4,31103.4,22225.42
Otros gastos diversos: Urbanismo,220,151,22699,,,,1080.86
Estudios y trabajos técnicos: Urbanismo,220,151,22706,15000.0,13990.0,28990.0,28239.98
Arrendamiento edifcios: Educación,220,320,202,16735.34,-16735.34,,
Arrendamiento edificios y construc.: Admón. genera,220,9200,202,73850.0,-56544.45,17305.55,8625.56
Arrendam. vehículos: Vías Públicas,220,155,204,14000.0,,14000.0,
Reparac. mantenim. infraestruc.: Vías Públicas,220,155,210,50000.0,18865.0,68865.0,51694.8
Reparac. mantenim.infraestruc.: Alumb.público,220,165,210,496762.16,33999.17,530761.33,492220.99
Reparac.mantenim.conserv.edificios: Admón.general,220,9200,212,52750.0,-867.37,51882.63,39049.57
Mantenim. conserv.maquinaria: Vías públicas,220,155,213,1500.0,,1500.0,644.53
Mantenim.y conserv. maquinaria: Admón.general,220,9200,213,5425.95,,5425.95,8113.86
Reparac. y mantenim. parque móvil,220,151,214,5000.0,,5000.0,12009.15
Material oficina: Urbanismo,220,151,220,,,,492.84
Limpieza y aseo: Admón general,160,9200,250,966730.96,-79000.0,887730.96,886170.01
Servicio recaudación de multas: Gestión S. Trituta,301,932,22502,80000.0,-30000.0,50000.0,36007.08
Festejos populares: Fiestas Populares y festejos,430,338,22699,63700.0,33200.0,96900.0,93804.75
Energía eléctrica: Admón. general,220,9200,22100,996171.83,-38256.5,957915.33,950088.06
Arrendam. local SERVEF: Fomento empleo,320,24100,202,33848.82,544.45,34393.27,31666.2
Mantenim. reparac. edificios: Fomento de empleo,320,24100,212,1800.0,,1800.0,
Publicidad y propaganda: Fomento empleo,320,24100,22602,24192.0,-10000.0,14192.0,
Otros contratos de servicios: Fomento Empleo,320,24100,22799,,,,32738.34
Dietas de personal: Fomento empleo,320,24100,23020,12096.0,-7000.0,5096.0,
"Formación, reuniones y conferencias: Empleo",320,24110,22606,150000.0,-113195.81,36804.19,20449.16
Otros suministros: Obras y serv. EMCORP,320,24151,22199,35000.0,-23700.29,11299.71,
Otros suministros: Obras y serv.INEM,320,24155,22199,28540.0,,28540.0,23429.16
Reparac. y conservac.edificios: comercio,320,430,212,2132.51,,2132.51,11.49
Otros suministros diversos: Comercio,320,430,22199,900.0,,900.0,83.33
Publicidad y propaganda: Comercio,320,430,22602,9000.0,6500.0,15500.0,6763.08
Reuniones y conferencias: Comercio,320,430,22606,4294.47,10000.0,14294.47,10357.83
Estudios y trabajos técnicos: Comercio,320,430,22706,,,,3230.7
Otros contratos servicios:Comercio,320,430,22799,16571.9,-4880.0,11691.9,6966.72
Otros suministros diversos,110,432,22199,2000.0,,2000.0,5815.95
Atenciones protocolarias: Turismo,110,432,22601,4000.0,,4000.0,2037.6
Publicidad y propaganda: Turismo,110,432,22602,16000.0,,16000.0,10532.92
Otros contratos servicios: Turismo,110,432,22799,8000.0,,8000.0,5050.0
Arrendamiento maquinaria: Cultura,480,330,203,1350.0,,1350.0,
Intereses: Deuda pública,301,011,310,988587.87,-373384.07,615203.8,611199.88
Transferencias grupos políticos: Organos gobierno,500,912,489,45000.0,2808.0,47808.0,47795.88
Intereses de demora: Gestión deuda y Tesorería,301,934,352,15000.0,100530.0,115530.0,105557.03
